WKT,id,rna_id,rcl_id,address,house_number,range_low,range_high,road_name,locality,territorial_authority,road_name_utf8,address_utf8,locality_utf8,shape_X,shape_Y
POINT (171.7587434167 -43.8940667833),146637,1780744,53937,"28 Pages Road, Allenton, Ashburton",28,28,,Pages Road,Allenton,Ashburton District,Pages Road,"28 Pages Road, Allenton, Ashburton",Allenton,171.758743417,-43.8940667833
POINT (171.7627285 -43.88869215),146708,1780713,319341,"41 Galbraith Street, Allenton, Ashburton",41,41,,Galbraith Street,Allenton,Ashburton District,Galbraith Street,"41 Galbraith Street, Allenton, Ashburton",Allenton,171.76272849999998,-43.88869215
POINT (171.7578757667 -43.8937727833),146820,1780803,47100,"6 Digby Place, Allenton, Ashburton",6,6,,Digby Place,Allenton,Ashburton District,Digby Place,"6 Digby Place, Allenton, Ashburton",Allenton,171.757875767,-43.8937727833
POINT (171.7628214333 -43.8984023667),147037,1780730,38624,"14 Kerr Street, Netherby, Ashburton",14,14,,Kerr Street,Netherby,Ashburton District,Kerr Street,"14 Kerr Street, Netherby, Ashburton",Netherby,171.762821433,-43.8984023667
POINT (171.7557068667 -43.8962084167),147063,1780768,46584,"15 Queens Drive, Allenton, Ashburton",15,15,,Queens Drive,Allenton,Ashburton District,Queens Drive,"15 Queens Drive, Allenton, Ashburton",Allenton,171.75570686700001,-43.8962084167
POINT (171.7619337167 -43.9005953),147068,1780816,54110,"163 William Street, Netherby, Ashburton",163,163,,William Street,Netherby,Ashburton District,William Street,"163 William Street, Netherby, Ashburton",Netherby,171.761933717,-43.9005953
POINT (171.7628010167 -43.90957505),147545,1780721,29444,"11 Bird Street, Hampstead, Ashburton",11,11,,Bird Street,Hampstead,Ashburton District,Bird Street,"11 Bird Street, Hampstead, Ashburton",Hampstead,171.76280101700002,-43.90957505
POINT (171.7646143167 -43.9104509667),147577,1780752,34868,"139 Trevors Road, Hampstead, Ashburton",139,139,,Trevors Road,Hampstead,Ashburton District,Trevors Road,"139 Trevors Road, Hampstead, Ashburton",Hampstead,171.764614317,-43.9104509667
POINT (171.7584424 -43.9088140333),147661,1780760,44238,"19 Hugh Street, Hampstead, Ashburton",19,19,,Hugh Street,Hampstead,Ashburton District,Hugh Street,"19 Hugh Street, Hampstead, Ashburton",Hampstead,171.7584424,-43.9088140333
POINT (171.7638969833 -43.9071169167),147803,3013415,31279,"37 Wakanui Road, Hampstead, Ashburton",37,37,,Wakanui Road,Hampstead,Ashburton District,Wakanui Road,"37 Wakanui Road, Hampstead, Ashburton",Hampstead,171.763896983,-43.9071169167
POINT (171.75530335 -43.9087312333),147824,3024589,52202,"3 Wellington Street, Hampstead, Ashburton",3,3,,Wellington Street,Hampstead,Ashburton District,Wellington Street,"3 Wellington Street, Hampstead, Ashburton",Hampstead,171.75530335,-43.908731233299996
POINT (171.7602181667 -43.9087599333),147935,1780764,44744,"62 Cambridge Street, Hampstead, Ashburton",62,62,,Cambridge Street,Hampstead,Ashburton District,Cambridge Street,"62 Cambridge Street, Hampstead, Ashburton",Hampstead,171.760218167,-43.9087599333
POINT (171.760453 -43.9127812167),147949,3024589,37271,"65 Wellington Street, Hampstead, Ashburton",65,65,,Wellington Street,Hampstead,Ashburton District,Wellington Street,"65 Wellington Street, Hampstead, Ashburton",Hampstead,171.760453,-43.9127812167
POINT (171.7615200167 -43.9079292167),148011,1780764,44744,"76 Cambridge Street, Hampstead, Ashburton",76,76,,Cambridge Street,Hampstead,Ashburton District,Cambridge Street,"76 Cambridge Street, Hampstead, Ashburton",Hampstead,171.761520017,-43.9079292167
POINT (171.7588665667 -43.90503635),148069,3045786,49429,"87 Cox Street, Ashburton",87,87,,Cox Street,Ashburton,Ashburton District,Cox Street,"87 Cox Street, Ashburton",Ashburton,171.758866567,-43.90503635
POINT (171.7613348167 -43.9053541667),148086,1780758,35620,"91 Eton Street, Hampstead, Ashburton",91,91,,Eton Street,Hampstead,Ashburton District,Eton Street,"91 Eton Street, Hampstead, Ashburton",Hampstead,171.761334817,-43.9053541667
POINT (171.7679117167 -43.90415035),148217,1780797,39243,"111 Princes Street, Netherby, Ashburton",111,111,,Princes Street,Netherby,Ashburton District,Princes Street,"111 Princes Street, Netherby, Ashburton",Netherby,171.767911717,-43.90415035
POINT (171.7690372667 -43.9082485667),148581,3025591,319370,"75 Albert Street, Elgin, Ashburton",75,75,,Albert Street,Elgin,Ashburton District,Albert Street,"75 Albert Street, Elgin, Ashburton",Elgin,171.76903726700002,-43.9082485667
POINT (171.7843874 -43.8784079333),148643,3002466,47805,"9 Mitcham Road, Allenton, Ashburton",9,9,,Mitcham Road,Allenton,Ashburton District,Mitcham Road,"9 Mitcham Road, Allenton, Ashburton",Allenton,171.7843874,-43.8784079333
