,id,address,boolean
7658,7659,"53 Kennedy Street, Geraldine",Request timed out
7660,7661,"114 Hilton Highway, Washdyke, Timaru",Request timed out
7661,7662,"20 Dampier Street, Oceanview, Timaru",Request timed out
7665,7666,"168 Evans Street, Waimataitai, Timaru",Request timed out
7674,7675,"55 Hassall Street, Parkside, Timaru",Request timed out
7675,7676,"97 North Street, Seaview, Timaru",Request timed out
7688,7689,"8 Beswick Street, Timaru",Request timed out
7699,7700,"7 Levens Lane, Temuka",Request timed out
7702,7703,"42 Ormsby Street, Temuka",Request timed out
7713,7714,"1/150B North Street, West End, Timaru",Request timed out
7733,7734,"109A Domain Avenue, Temuka",Request timed out
7739,7740,"205 Stafford Street, Timaru",Request timed out
7773,7774,"58 Temple Crescent, Gleniti, Timaru",Request timed out
7811,7812,"47 Devon Street, Watlington, Timaru",Request timed out
7812,7813,"16 Peel Street, Geraldine",Request timed out
7814,7815,"3 Shaw Street, Geraldine",Request timed out
7821,7822,"31 Ascot Street, Washdyke, Timaru",Request timed out
7863,7864,"283 King Street, Temuka",Request timed out
7864,7865,"6 Temuka-Orari Highway, Temuka",Request timed out
7866,7867,"22 Maddren Street, Winchester",Request timed out
7906,7907,"632 Landsborough Road, Claremont",Request timed out
7907,7908,"538 Woodbury Road, Woodbury",Request timed out
7914,7915,"1 Sea View Terrace, Seaview, Timaru",Request timed out
7916,7917,"30B Avenue Road, West End, Timaru",Request timed out
7917,7918,"110 Otipua Road, Watlington, Timaru",Request timed out
7918,7919,"576 Claremont Road, Claremont",Request timed out
7919,7920,"3 St George Street, Watlington, Timaru",Request timed out
7920,7921,"4B Stenhouse Drive, Marchwiel, Timaru",Request timed out
7927,7928,"253B King Street, Temuka",Request timed out
7928,7929,"15A The Terrace, Timaru",Request timed out
7953,7954,"4 Stirling Place, Marchwiel, Timaru",Request timed out
7954,7955,"21 Rimu Street, Highfield, Timaru",Request timed out
7955,7956,"23 Puriri Street, Highfield, Timaru",Request timed out
7956,7957,"39 Rimu Street, Glenwood, Timaru",Request timed out
7957,7958,"4 Pukatea Street, Glenwood, Timaru",Request timed out
7961,7962,"3 Bristol Street, Pareora",Request timed out
7962,7963,"218 Douglas Street, Highfield, Timaru",Request timed out
7963,7964,"80 Kent Street, Marchwiel, Timaru",Request timed out
7967,7968,"64 Orbell Street, Highfield, Timaru",Request timed out
7968,7969,"7 Grandi Avenue, Highfield, Timaru",Request timed out
7969,7970,"35 Rocky Hundreds Road, Fairview",Request timed out
7990,7991,"20 Quarry Road, Watlington, Timaru",Request timed out
7991,7992,"229 North Street, West End, Timaru",Request timed out
7992,7993,"40 Raymond Street, West End, Timaru",Request timed out
11563,11564,"2 Stenhouse Drive, Marchwiel, Timaru",Request timed out
11627,11628,"1184 Peel Forest Road, Peel Forest",Request timed out
11640,11641,"4 Whitcombe Street, Temuka",Request timed out
11705,11706,"2/39 Gleniti Road, Gleniti, Timaru",Request timed out
11706,11707,"2/10 Spring Road, Gleniti, Timaru",Request timed out
11721,11722,"247 Claremont Road, Otipua Creek",Request timed out
11724,11725,"57 MacAulay Street, Gleniti, Timaru",Request timed out
11777,11778,"14 Te Weka Street, Maori Hill, Timaru",Request timed out
11786,11787,"8 Hunt Street, Seaview, Timaru",Request timed out
11787,11788,"2 Vinnell Street, Parkside, Timaru",Request timed out
11798,11799,"22 Catherine Street, Parkside, Timaru",Request timed out
11836,11837,"275 Stafford Street, Timaru",Request timed out
11856,11857,"3/27 Jollie Street, Geraldine",Request timed out
11873,11874,"404 Opihi Road, Totara Valley",Request timed out
11920,11921,"24 Tasman Street, Oceanview, Timaru",Request timed out
11935,11936,"3 Harper Street, Parkside, Timaru",Request timed out
11951,11952,"15 Marston Road, Kensington, Timaru",Request timed out
11952,11953,"22 Rothwell Street, Redruth, Timaru",Request timed out
15502,15503,"9 Donald Street, Temuka",Request timed out
15510,15511,"23 Alexandra Street, Temuka",Request timed out
15514,15515,"473 Factory Road, Winchester",Request timed out
15581,15582,"10 Poplar Street, Gleniti, Timaru",Request timed out
15592,15593,"155 Morgans Road, Marchwiel, Timaru",Request timed out
15648,15649,"13 Roslyn Terrace, West End, Timaru",Request timed out
15658,15659,"779 Rangitata Gorge Road, Peel Forest",Request timed out
15661,15662,"10 Taylor Street, Geraldine",Request timed out
15683,15684,"35 Springfield Road, Temuka",Request timed out
15685,15686,"26 Cass Street, Temuka",Request timed out
15720,15721,"19A Dobson Street, Gleniti, Timaru",Request timed out
15721,15722,"35A Tawa Street, Glenwood, Timaru",Request timed out
15731,15732,"1252 Earl Road, Hilton",Request timed out
15732,15733,"147 Factory Road, Temuka",Request timed out
15774,15775,"21 Hawea Street, Glenwood, Timaru",Request timed out
15786,15787,"12 Glenview Terrace, Highfield, Timaru",Request timed out
15797,15798,"40 Dunkirk Street, Marchwiel, Timaru",Request timed out
15841,15842,"14 Campbell Street, Geraldine",Request timed out
15910,15911,"169 Stafford Street, Timaru",Request timed out
15912,15913,"17 Seddon Street, Temuka",Request timed out
15919,15920,"238 Gleniti Road, Gleniti, Timaru",Request timed out
15926,15927,"455 Opihi Road, Totara Valley",Request timed out
15927,15928,"21 Harris Street, Pleasant Point",Request timed out
15936,15937,"50 Mountain View Road, Glenwood, Timaru",Request timed out
15957,15958,"40 Arun Street, Marchwiel, Timaru",Request timed out
15972,15973,"24 Hatton Street, West End, Timaru",Request timed out
15980,15981,"39 Canada Street, Watlington, Timaru",Request timed out
15984,15985,"24 Darby Street, Geraldine",Request timed out
15995,15996,"152 Church Street, Seaview, Timaru",Request timed out
15997,15998,"26 Matilda Street, Seaview, Timaru",Request timed out
16024,16025,"15 Maddren Street, Winchester",Request timed out
16029,16030,"19 Studholme Street, Temuka",Request timed out
16031,16032,"27 Davie Street, Temuka",Request timed out
16032,16033,"28 Hamilton Street, Temuka",Request timed out
16067,16068,"31 Meadows Road, Washdyke, Timaru",Request timed out
16088,16089,"12 Bridge Street, Temuka",Request timed out
16103,16104,"6 Apsley Street, Glenwood, Timaru",Request timed out
16104,16105,"1421 Earl Road, Hilton",Request timed out
16152,16153,"12 Clyde Carr Crescent, Waimataitai, Timaru",Request timed out
16166,16167,"40 Mowbray Street, Watlington, Timaru",Request timed out
16190,16191,"31 Maude Street, Temuka",Request timed out
16200,16201,"27 Davey Road, Milford",Request timed out
16230,16231,"8A Park Lane, Highfield, Timaru",Request timed out
16300,16301,"46 Lookout Road, Peel Forest",Request timed out
16301,16302,"103 Grants Road, Marchwiel, Timaru",Request timed out
16317,16318,"81 Coonoor Road, Watlington, Timaru",Request timed out
16356,16357,"23 Rothwell Street, Redruth, Timaru",Request timed out
16361,16362,"50 South Street, Kensington, Timaru",Request timed out
16362,16363,"161 Coach Road, Orari",Request timed out
16363,16364,"20 Donald Street, Temuka",Request timed out
16400,16401,"45 Connolly Street, Geraldine",Request timed out
16439,16440,"39 Nile Street, Highfield, Timaru",Request timed out
16440,16441,"5 Hornbrook Street, Temuka",Request timed out
16479,16480,"182 Geraldine Flat Road, Geraldine Flat",Request timed out
16490,16491,"27 Douglas Street, Highfield, Timaru",Request timed out
16500,16501,"32 Harborough Street, Watlington, Timaru",Request timed out
16501,16502,"5 St George Street, Watlington, Timaru",Request timed out
16547,16548,"7 Erskine Street, Winchester",Request timed out
16551,16552,"37 Hamilton Street, Temuka",Request timed out
16563,16564,"1/142 Otipua Road, Watlington, Timaru",Request timed out
16630,16631,"29 Brunswick Street, Seaview, Timaru",Request timed out
16711,16712,"10 Hartley Crescent, Marchwiel, Timaru",Request timed out
16721,16722,"43 Canada Street, Watlington, Timaru",Request timed out
16732,16733,"18 Marchwiel Street, Marchwiel, Timaru",Request timed out
16757,16758,"13 Church Street, Timaru",Request timed out
16770,16771,"11 Shaw Street, Redruth, Timaru",Request timed out
16775,16776,"28 Hertford Street, Kensington, Timaru",Request timed out
16780,16781,"37 Hally Terrace, Temuka",Request timed out
16791,16792,"15 Stewart Road, Orari",Request timed out
16792,16793,"12 Kakahu Street, Orari",Request timed out
