,region,council,date_issued,council_ref,location_all,location_street,location_suburb,location_area, Location_Postcode ,legal_description,val_number,consent_value,description
81,Auckland,Auckland,12-Jan-18,ABCO10259629,24 Endeavour Street Blockhouse Bay Auckland    0600  Auckland,24 Endeavour Street Blockhouse Bay Auckland    0600,,,,Lot 20 DP 41422,,$900.00 ,install new wood fire with eco flue to replace existing
90,Auckland,Auckland,13-Jan-18,ABCO10259718,19 Hukanui Crescent Ponsonby Auckland    1021  Auckland,19 Hukanui Crescent Ponsonby Auckland    1021,,,,Lot 8 DP 38075,,"$3,000.00 ",install new freestanding solid fuel wood burner
105,Auckland,Auckland,16-Jan-18,ABCO10255775,64 Bay Road St Heliers Auckland,64 Bay Road,St Heliers,1071,,Pt Lot 21 DP 19152,,"$950,000.00 ","rbw - demolish existing home. construct new double storey, four bedroom dwelling with internal access double garage, in-ground concrete swimming pool and free-standing solid fuel heater"
171,Auckland,Auckland,19-Jan-18,ABCO10254478,54B Challenger Street St Heliers Auckland,54B Challenger Street,St Heliers,1071,,"1/3 SH Pt Lot 1 DP 25534, Flat 3 DP 68857",,"$4,000.00 ",install freestanding woodfire and flue
257,Auckland,Auckland,26-Jan-18,ABCO10174479-2,18 Victoria Road North Waiheke Island Auckland Auckland,18 Victoria Road North,Waiheke Island Auckland,1081,,Lot 1 DP 205156,,"$380,000.00 ","stage 2 - rbw - new double storey, three bedroom dwelling with garage, waste water system and solid fuel heater."
362,Auckland,Auckland,5-Feb-18,ABCO10260736,46 Torrington Crescent Glen Innes Auckland,46 Torrington Crescent,Glen Innes,1072,,Lot 260 DP 43736,,"$5,500.00 ",sfh - replacement of existing insert solid fuel heater with new masport le 4000 insert solid fuel heater.
434,Auckland,Auckland,12-Feb-18,ABCO10258259,1 Glendon Avenue Avondale Auckland,1 Glendon Avenue,Avondale,1026,,Lot 13 DP 19735,,"$150,000.00 ","rbw - removal of existing lean. addition, and alteration to single storey dwelling to include new bedroom, study room, living, dining, 2 bathroom/ensuite, relocation of kitchen, solid fuel heater, deck, new joinery, and new roof"
442,Auckland,Auckland,12-Feb-18,ABCO10261505,81 Marine Parade Herne Bay Auckland,81 Marine Parade,Herne Bay,1011,,DP 2613,,"$3,800.00 ",installation of solid wood burner
487,Auckland,Auckland,15-Feb-18,ABCO10256172,38 Nikau Road Waiheke Island Auckland,38 Nikau Road,Waiheke Island,1081,,Lot 416 DP 29172,,"$380,000.00 ","rbw - new single level, timber framed dwelling with two living areas, three bedrooms, two bathrooms and free-standing wood burner"
590,Auckland,Auckland,21-Feb-18,ABCO10261571,9 Cape Barrier Road Great Barrier Island Auckland,9 Cape Barrier Road,Great Barrier Island,991,,"Pt Lot 3 DP 26026, SEC 4 SO 70746",,"$2,000.00 ",replace existing fireplace with new wood fire  including wetback
694,Auckland,Auckland,28-Feb-18,ABCO10262293,43 Buckley Road Epsom Auckland,43 Buckley Road,Epsom,1023,,Lot 1 DP 436956,,"$3,500.00 ",install freestanding woodfire and flue
815,Auckland,Auckland,7-Mar-18,ABCO10263280,7A Queenstown Road Onehunga Auckland,7A Queenstown Road,Onehunga,,,Lot 1 DP 51515,,"$5,000.00 ",install freestanding wood fire and flue
817,Auckland,Auckland,7-Mar-18,ABCO10263281,39 Tetley Road Waiheke Island Auckland,39 Tetley Road,Waiheke Island,,,Lot 515 DP 16353,,"$4,800.00 ",install freestanding wood fire & flue
818,Auckland,Auckland,7-Mar-18,ABCO10263248,68 Frederick Street Hillsborough Auckland,68 Frederick Street,Hillsborough,,,Lot 1 DP 90747,,"$4,000.00 ",install insert wood fire and flue
819,Auckland,Auckland,7-Mar-18,ABCO10263282,7 Stilwell Road Mount Albert Auckland,7 Stilwell Road,Mount Albert,,,"Pt Lot 6 DP 3280, Pt Lot 7 DP 3280",,"$4,000.00 ",install freestanding woodfire
821,Auckland,Auckland,7-Mar-18,ABCO10263249,33 Marsden Avenue Balmoral Auckland,33 Marsden Avenue,Balmoral,,,Lot 40 Deeds Reg 252,,"$3,500.00 ",install freestanding wood fire and flue
850,Auckland,Auckland,9-Mar-18,ABCO10258886,731 Orapiu Road Waiheke Island Auckland,731 Orapiu Road,Waiheke Island,,,Lot 2 DP 63999,,"$98,000.00 ",rbw - additions/alterations to an existing dwelling. reconfigure existing bedroom-suite & provide new plumbing fixtures/lower areas of ceiling for more efficient heating & cooling/introduce velux skylights/install new solid fuel heater to bdrm
1010,Auckland,Auckland,21-Mar-18,ABCO10263974,43191 Ambury Avenue Royal Oak Auckland,43191 Ambury Avenue,Royal Oak,1023,,Flat 1 DP 151251,,"$5,000.00 ",installation of new freestanding solid fuel heaters and flue systems
1037,Auckland,Auckland,22-Mar-18,ABCO10264353,22A Merivale Avenue Epsom Auckland,22A Merivale Avenue,Epsom,1023,,"Flat 1 DP 100609, Lot 2 DP 61547, Flat 2 DP 100609, Lot 2 DP 61547",,"$3,000.00 ",installation of solid fuel heater
1048,Auckland,Auckland,23-Mar-18,ABCO10263060,45 Pine Street Balmoral Auckland,45 Pine Street,Balmoral,1041,,Lot 1 DP 6943,,"$18,000.00 ","rbw - minor internal alteration to existing residence - change in position of kitchen ,tv room, new wood fire place ."
1075,Auckland,Auckland,27-Mar-18,ABCO10260826,6 Windsor Street Parnell Auckland,6 Windsor Street,Parnell,1052,,"Flat 3 DP 149393, 1/5 SH Lot 1 DP 144045",,"$800,000.00 ","rbw - flat 3 - new triple storey, three bedroom dwelling with lift, solid fuel heater, decking and attached single garage within the same footprint of demolished three storey dwelling"
1080,Auckland,Auckland,27-Mar-18,ABCO10187652-A,60 Alberta Street Point Chevalier Auckland,60 Alberta Street,Point Chevalier,1022,,Lot 1 DP 192740,,"$55,000.00 ","rbw -  amendment - new wall exterior wall cladding on battens replaces existing. new colour steel rood replaces existing. new aluminium doors, and windows replaces existing timber. new solid fuel heater replaces gas fire place. new bracing."
1088,Auckland,Auckland,27-Mar-18,ABCO10110210,5 Hekerua Road Waiheke Island Auckland,5 Hekerua Road,Waiheke Island,1081,,Lot 693 DP 16962,,"$3,480.00 ",install solid fuel heater
1101,Auckland,Auckland,28-Mar-18,ABCO10260778,55 Fourth Avenue Kingsland Auckland,55 Fourth Avenue,Kingsland,1021,,Lot 1 DP 364254,,"$600,000.00 ","rbw - alterations and additions to existing house. addition of tv, lounge and store, rumpus room. new wood burner, replacement of timber and aluminium window, skylight and door joinery."
1357,Auckland,Auckland,12-Apr-18,ABCO10265079,50A Carlton Street Hillsborough Auckland,50A Carlton Street,Hillsborough,1042,Lot 7 DP 102049,,,"$5,000.00 ",install new freestanding wood fire and flue to replace existing
1358,Auckland,Auckland,12-Apr-18,ABCO10264781,59 Te Arawa Street Orakei Auckland,59 Te Arawa Street,Orakei,1071,Lot 250 DP 37687,,,"$4,000.00 ",install free standing wood fire and flue
1359,Auckland,Auckland,12-Apr-18,ABCO10264598,3 Hendon Avenue Owairaka Auckland,3 Hendon Avenue,Owairaka,1025,"SEC 246 SO 434446, SEC 446 SO 434446",,,"$3,500.00 ",new solid wood burner
1361,Auckland,Auckland,12-Apr-18,ABCO10264550,33 Aroha Avenue Sandringham Auckland,33 Aroha Avenue,Sandringham,1025,Lot 20 DP 17968,,,"$3,000.00 ",install new insert solid fuel wood burner to replace existing
1372,Auckland,Auckland,12-Apr-18,ABCO10265079,50A Carlton Street Hillsborough Auckland,50A Carlton Street,Hillsborough,1042,,Lot 7 DP 102049,,"$5,000.00 ",install new freestanding wood fire and flue to replace existing
1373,Auckland,Auckland,12-Apr-18,ABCO10264781,59 Te Arawa Street Orakei Auckland,59 Te Arawa Street,Orakei,1071,,Lot 250 DP 37687,,"$4,000.00 ",install free standing wood fire and flue
1374,Auckland,Auckland,12-Apr-18,ABCO10264598,3 Hendon Avenue Owairaka Auckland,3 Hendon Avenue,Owairaka,1025,,"SEC 246 SO 434446, SEC 446 SO 434446",,"$3,500.00 ",new solid wood burner
1376,Auckland,Auckland,12-Apr-18,ABCO10264550,33 Aroha Avenue Sandringham Auckland,33 Aroha Avenue,Sandringham,1025,,Lot 20 DP 17968,,"$3,000.00 ",install new insert solid fuel wood burner to replace existing
1399,Auckland,Auckland,13-Apr-18,ABCO10265418,39 Comins Crescent Mission Bay Auckland,39 Comins Crescent,Mission Bay,1071,Lot 2 DP 320127,,,"$3,500.00 ",install freestanding woodfire and flue
1417,Auckland,Auckland,13-Apr-18,ABCO10265418,39 Comins Crescent Mission Bay Auckland,39 Comins Crescent,Mission Bay,1071,,Lot 2 DP 320127,,"$3,500.00 ",install freestanding woodfire and flue
1471,Auckland,Auckland,17-Apr-18,ABCO10265370,30 Baildon Road Grey Lynn Auckland,30 Baildon Road,Grey Lynn,1021,Lot 18 Sec 56 Dp 1720,,,"$4,000.00 ",install new freestanding woodfire and flue
1493,Auckland,Auckland,17-Apr-18,ABCO10265370,30 Baildon Road Grey Lynn Auckland,30 Baildon Road,Grey Lynn,1021,,Lot 18 Sec 56 Dp 1720,,"$4,000.00 ",install new freestanding woodfire and flue
1703,Auckland,Auckland,24-Apr-18,ABCO10265813,12 Karaka Park Place Glendowie Auckland,12 Karaka Park Place,Glendowie,1071,Lot 45 DP 73508,,,"$3,000.00 ",install new freestanding woodfire and flue to replace existing
1704,Auckland,Auckland,24-Apr-18,BCO10265813,12 Karaka Park Place Glendowie Auckland    1071  Auckland,12 Karaka Park Place Glendowie Auckland    1071,,,Lot 45 DP 73508,,,"$3,000.00 ",install new freestanding woodfire and flue to replace existing
1749,Auckland,Auckland,24-Apr-18,ABCO10265813,12 Karaka Park Place Glendowie Auckland,12 Karaka Park Place,Glendowie,1071,,Lot 45 DP 73508,,"$3,000.00 ",install new freestanding woodfire and flue to replace existing
1750,Auckland,Auckland,24-Apr-18,BCO10265813,12 Karaka Park Place Glendowie Auckland    1071  Auckland,12 Karaka Park Place Glendowie Auckland    1071,,,,Lot 45 DP 73508,,"$3,000.00 ",install new freestanding woodfire and flue to replace existing
1965,Auckland,Auckland,2-May-18,ABCO10265342,25 Wallath Road Onehunga Auckland,25 Wallath Road,Onehunga,1061,Lot 27 DP 19462,,,"$4,800.00 ",installation of solid fuel heater
1987,Auckland,Auckland,2-May-18,ABCO10265342,25 Wallath Road Onehunga Auckland,25 Wallath Road,Onehunga,1061,,Lot 27 DP 19462,,"$4,800.00 ",installation of solid fuel heater
2040,Auckland,Auckland,4-May-18,ABCO10265349,410 Riddell Road Glendowie Auckland,410 Riddell Road,Glendowie,1071,Lot 3 DP 506088,,,"$1,260.00 ",installation of a solid fuel heater
2049,Auckland,Auckland,4-May-18,ABCO10265349,410 Riddell Road Glendowie Auckland,410 Riddell Road,Glendowie,1071,,Lot 3 DP 506088,,"$1,260.00 ",installation of a solid fuel heater
2110,Auckland,Auckland,7-May-18,ABCO10266284,77A Namata Road Onehunga Auckland,77A Namata Road,Onehunga,1061,Lot 1 DP 43444,,,"$4,500.00 ",install new insert wood fire and flue to replace existing
2111,Auckland,Auckland,7-May-18,BCO10266284,77A Namata Road Onehunga Auckland,77A Namata Road,Onehunga,1061,Lot 1 DP 43444,,,"$4,500.00 ",install new insert wood fire and flue to replace existing
2114,Auckland,Auckland,7-May-18,ABCO10266534,65 Huia Road Otahuhu Auckland,65 Huia Road,Otahuhu,1062,Lot 4 DP 34456,,,"$4,000.00 ",install freestanding woodfire + flue
2117,Auckland,Auckland,7-May-18,BCO10266534,65 Huia Road Otahuhu Auckland,65 Huia Road,Otahuhu,1062,Lot 4 DP 34456,,,"$4,000.00 ",install freestanding woodfire + flue
2118,Auckland,Auckland,7-May-18,ABCO10266531,39 Miller Street Point Chevalier Auckland,39 Miller Street,Point Chevalier,1022,Lot 16 DP 15610,,,"$3,800.00 ",install new freestanding wood fire and flue
2119,Auckland,Auckland,7-May-18,ABCO10265901,1 Askew Avenue Rakino Island Auckland,1 Askew Avenue,Rakino Island,1010,Lot 45 DP 55941,,,"$3,800.00 ",installation of solid fuel heater.
2120,Auckland,Auckland,7-May-18,BCO10265901,1 Askew Avenue Rakino Island Auckland,1 Askew Avenue,Rakino Island,1010,Lot 45 DP 55941,,,"$3,800.00 ",installation of solid fuel heater.
2121,Auckland,Auckland,7-May-18,BCO10266531,39 Miller Street Point Chevalier Auckland,39 Miller Street,Point Chevalier,1022,Lot 16 DP 15610,,,"$3,800.00 ",install new freestanding wood fire and flue
2122,Auckland,Auckland,7-May-18,ABCO10266532,38 Howard Hunter Avenue St Johns Auckland,38 Howard Hunter Avenue,St Johns,1072,Lot 4 DP 59695,,,"$3,500.00 ",install new freestanding woodfire and flue
2123,Auckland,Auckland,7-May-18,BCO10266532,38 Howard Hunter Avenue St Johns Auckland,38 Howard Hunter Avenue,St Johns,1072,Lot 4 DP 59695,,,"$3,500.00 ",install new freestanding woodfire and flue
2175,Auckland,Auckland,7-May-18,BCO10266284,77A Namata Road Onehunga Auckland,77A Namata Road,Onehunga,1061,,Lot 1 DP 43444,,"$4,500.00 ",install new insert wood fire and flue to replace existing
2176,Auckland,Auckland,7-May-18,ABCO10266284,77A Namata Road Onehunga Auckland,77A Namata Road,Onehunga,1061,,Lot 1 DP 43444,,"$4,500.00 ",install new insert wood fire and flue to replace existing
2181,Auckland,Auckland,7-May-18,BCO10266534,65 Huia Road Otahuhu Auckland,65 Huia Road,Otahuhu,1062,,Lot 4 DP 34456,,"$4,000.00 ",install freestanding woodfire + flue
2182,Auckland,Auckland,7-May-18,ABCO10266534,65 Huia Road Otahuhu Auckland,65 Huia Road,Otahuhu,1062,,Lot 4 DP 34456,,"$4,000.00 ",install freestanding woodfire + flue
2183,Auckland,Auckland,7-May-18,BCO10266531,39 Miller Street Point Chevalier Auckland,39 Miller Street,Point Chevalier,1022,,Lot 16 DP 15610,,"$3,800.00 ",install new freestanding wood fire and flue
2184,Auckland,Auckland,7-May-18,BCO10265901,1 Askew Avenue Rakino Island Auckland,1 Askew Avenue,Rakino Island,1010,,Lot 45 DP 55941,,"$3,800.00 ",installation of solid fuel heater.
2185,Auckland,Auckland,7-May-18,ABCO10266531,39 Miller Street Point Chevalier Auckland,39 Miller Street,Point Chevalier,1022,,Lot 16 DP 15610,,"$3,800.00 ",install new freestanding wood fire and flue
2186,Auckland,Auckland,7-May-18,ABCO10265901,1 Askew Avenue Rakino Island Auckland,1 Askew Avenue,Rakino Island,1010,,Lot 45 DP 55941,,"$3,800.00 ",installation of solid fuel heater.
2187,Auckland,Auckland,7-May-18,BCO10266532,38 Howard Hunter Avenue St Johns Auckland,38 Howard Hunter Avenue,St Johns,1072,,Lot 4 DP 59695,,"$3,500.00 ",install new freestanding woodfire and flue
2188,Auckland,Auckland,7-May-18,ABCO10266532,38 Howard Hunter Avenue St Johns Auckland,38 Howard Hunter Avenue,St Johns,1072,,Lot 4 DP 59695,,"$3,500.00 ",install new freestanding woodfire and flue
2267,Auckland,Auckland,9-May-18,ABCO10266132,7 Sea View Road Waiheke Island Auckland,7 Sea View Road,Waiheke Island,1081,Lot 12 DP 33320,,,"$3,500.00 ",install new freestanding wood burner to replace existing
2268,Auckland,Auckland,9-May-18,BCO10266132,7 Sea View Road Waiheke Island Auckland,7 Sea View Road,Waiheke Island,1081,Lot 12 DP 33320,,,"$3,500.00 ",install new freestanding wood burner to replace existing
2295,Auckland,Auckland,9-May-18,ABCO10266132,7 Sea View Road Waiheke Island Auckland,7 Sea View Road,Waiheke Island,1081,,Lot 12 DP 33320,,"$3,500.00 ",install new freestanding wood burner to replace existing
2296,Auckland,Auckland,9-May-18,BCO10266132,7 Sea View Road Waiheke Island Auckland,7 Sea View Road,Waiheke Island,1081,,Lot 12 DP 33320,,"$3,500.00 ",install new freestanding wood burner to replace existing
2329,Auckland,Auckland,10-May-18,ABCO10260371,105 Trig Hill Road Waiheke Island Auckland,105 Trig Hill Road,Waiheke Island,1081,Lot 1 DP 74498,,,"$591,228.00 ","rbw - new single storey, two bedroom dwelling with attached double garage, solid fuel heater, wastewater plant, paving, turning area and driveway"
2330,Auckland,Auckland,10-May-18,BCO10260371,105 Trig Hill Road Waiheke Island Auckland,105 Trig Hill Road,Waiheke Island,1081,Lot 1 DP 74498,,,"$591,228.00 ","rbw - new single storey, two bedroom dwelling with attached double garage, solid fuel heater, wastewater plant, paving, turning area and driveway"
2361,Auckland,Auckland,10-May-18,ABCO10260371,105 Trig Hill Road Waiheke Island Auckland,105 Trig Hill Road,Waiheke Island,1081,,Lot 1 DP 74498,,"$591,228.00 ","rbw - new single storey, two bedroom dwelling with attached double garage, solid fuel heater, wastewater plant, paving, turning area and driveway"
2362,Auckland,Auckland,10-May-18,BCO10260371,105 Trig Hill Road Waiheke Island Auckland,105 Trig Hill Road,Waiheke Island,1081,,Lot 1 DP 74498,,"$591,228.00 ","rbw - new single storey, two bedroom dwelling with attached double garage, solid fuel heater, wastewater plant, paving, turning area and driveway"
2421,Auckland,Auckland,11-May-18,ABCO10266966,10 Te Aroha Avenue Waiheke Island Auckland,10 Te Aroha Avenue,Waiheke Island,1081,Lot 1013 DP 16962,,,"$2,000.00 ",install a new wood burner
2422,Auckland,Auckland,11-May-18,BCO10266966,10 Te Aroha Avenue Waiheke Island Auckland,10 Te Aroha Avenue,Waiheke Island,1081,Lot 1013 DP 16962,,,"$2,000.00 ",install a new wood burner
2445,Auckland,Auckland,11-May-18,BCO10266966,10 Te Aroha Avenue Waiheke Island Auckland,10 Te Aroha Avenue,Waiheke Island,1081,,Lot 1013 DP 16962,,"$2,000.00 ",install a new wood burner
2446,Auckland,Auckland,11-May-18,ABCO10266966,10 Te Aroha Avenue Waiheke Island Auckland,10 Te Aroha Avenue,Waiheke Island,1081,,Lot 1013 DP 16962,,"$2,000.00 ",install a new wood burner
2503,Auckland,Auckland,20-May-18,ABCO10265597,111 Shoal Bay Road Great Barrier Island Auckland,111 Shoal Bay Road,Great Barrier Island,991,Lot 1 DP 78362,,,"$95,000.00 ","install two wood fires, a deck, retaining walls."
2540,Auckland,Auckland,20-May-18,ABCO10266810,18 McArthur Avenue St Heliers Auckland,18 McArthur Avenue,St Heliers,1071,"1/2 SH Lot 18 DP 19110, Flat 1 DP 171627",,,"$5,000.00 ",install freestanding woodfire and flue
2542,Auckland,Auckland,20-May-18,ABCO10267312,66 Quadrant Road Onehunga Auckland,66 Quadrant Road,Onehunga,1061,Lot 4 DP 19929,,,"$4,000.00 ",install new freestanding wood fire and flue into chimney
2544,Auckland,Auckland,20-May-18,ABCO10267213,1/148 Kohimarama Road Kohimarama Auckland,1/148 Kohimarama Road,Kohimarama,1071,Flat 1 DP 104600,,,"$3,500.00 ",install new freestanding wood fire and flue
2585,Auckland,Auckland,20-May-18,ABCO10265597,111 Shoal Bay Road Great Barrier Island Auckland,111 Shoal Bay Road,Great Barrier Island,991,,Lot 1 DP 78362,,"$95,000.00 ","install two wood fires, a deck, retaining walls."
2622,Auckland,Auckland,20-May-18,ABCO10266810,18 McArthur Avenue St Heliers Auckland,18 McArthur Avenue,St Heliers,1071,,"1/2 SH Lot 18 DP 19110, Flat 1 DP 171627",,"$5,000.00 ",install freestanding woodfire and flue
2625,Auckland,Auckland,20-May-18,ABCO10267312,66 Quadrant Road Onehunga Auckland,66 Quadrant Road,Onehunga,1061,,Lot 4 DP 19929,,"$4,000.00 ",install new freestanding wood fire and flue into chimney
2626,Auckland,Auckland,20-May-18,ABCO10267213,1/148 Kohimarama Road Kohimarama Auckland,1/148 Kohimarama Road,Kohimarama,1071,,Flat 1 DP 104600,,"$3,500.00 ",install new freestanding wood fire and flue
2861,Auckland,Auckland,29-May-18,ABCO10258036-A,14 Lambeth Road Mount Roskill Auckland,14 Lambeth Road,Mount Roskill,,Lot 120 Dp 18377,,,"$10,000.00 ","amendment - rbw - removal of wood burner and gas fireplace, addition of gas fireplace and additional foundation and framing outside of existing footprint. addition of nib wall foundation with detail to plans."
2885,Auckland,Auckland,29-May-18,ABCO10258036-A,14 Lambeth Road Mount Roskill Auckland,14 Lambeth Road,Mount Roskill,,,Lot 120 Dp 18377,,"$10,000.00 ","amendment - rbw - removal of wood burner and gas fireplace, addition of gas fireplace and additional foundation and framing outside of existing footprint. addition of nib wall foundation with detail to plans."
2974,Auckland,Auckland,31-May-18,ABCO10267792,43 Ranui Road Remuera Auckland,43 Ranui Road,Remuera,,Lot 8 Dp 5033,,,"$3,552.00 ",install new freestanding solid wood burner to replace existing
2975,Auckland,Auckland,31-May-18,ABCO10267723,11 Sadgrove Terrace Mount Albert Auckland,11 Sadgrove Terrace,Mount Albert,,"Lot 25 Dp 19886, Lot 1 Dp 28424",,,"$3,000.00 ",installation of a solid fuel wood burner - into existing masonry chimney.
3002,Auckland,Auckland,31-May-18,ABCO10267792,43 Ranui Road Remuera Auckland,43 Ranui Road,Remuera,,,Lot 8 Dp 5033,,"$3,552.00 ",install new freestanding solid wood burner to replace existing
3003,Auckland,Auckland,31-May-18,ABCO10267723,11 Sadgrove Terrace Mount Albert Auckland,11 Sadgrove Terrace,Mount Albert,,,"Lot 25 Dp 19886, Lot 1 Dp 28424",,"$3,000.00 ",installation of a solid fuel wood burner - into existing masonry chimney.
3028,Auckland,Auckland,1-Jun-18,ABCO10266761,61 Peter Buck Road New Windsor Auckland,61 Peter Buck Road,New Windsor,,Lot 35 Dp 49665,,,"$4,988.00 ",installation of a solid fuel heater.
3029,Auckland,Auckland,1-Jun-18,ABCO10266949,87B Premier Avenue Point Chevalier Auckland,87B Premier Avenue,Point Chevalier,,Lot 1 Dp 375300,,,"$4,800.00 ",installation of solid fuel heater.
3031,Auckland,Auckland,1-Jun-18,ABCO10267647,21 Parrish Road Sandringham Auckland,21 Parrish Road,Sandringham,,Lot 82 Dp 3870,,,"$3,149.00 ",installation of a solid fuel heater
3050,Auckland,Auckland,1-Jun-18,ABCO10266761,61 Peter Buck Road New Windsor Auckland,61 Peter Buck Road,New Windsor,,,Lot 35 Dp 49665,,"$4,988.00 ",installation of a solid fuel heater.
3051,Auckland,Auckland,1-Jun-18,ABCO10266949,87B Premier Avenue Point Chevalier Auckland,87B Premier Avenue,Point Chevalier,,,Lot 1 Dp 375300,,"$4,800.00 ",installation of solid fuel heater.
3053,Auckland,Auckland,1-Jun-18,ABCO10267647,21 Parrish Road Sandringham Auckland,21 Parrish Road,Sandringham,,,Lot 82 Dp 3870,,"$3,149.00 ",installation of a solid fuel heater
3119,Auckland,Auckland,6-Jun-18,ABCO10268231,35 Reihana Street Orakei Auckland,35 Reihana Street,Orakei,1071,Lot 433 Dp 38385,,,"$12,000.00 ",sfh -new masport 15000 built in wood fireplace.
3124,Auckland,Auckland,6-Jun-18,ABCO10268079,168 Delamore Drive Waiheke Island Auckland,168 Delamore Drive,Waiheke Island,1081,Lot 1 Dp 421622,,,"$8,000.00 ",install freestanding woodfire and flue
3125,Auckland,Auckland,6-Jun-18,ABCO10268078,32B Bassett Road Remuera Auckland,32B Bassett Road,Remuera,1050,Lot 1 Dp 470450,,,"$7,800.00 ",install freestanding woodfire & flue
3127,Auckland,Auckland,6-Jun-18,ABCO10268451,3 Stranolar Drive Waikowhai Auckland,3 Stranolar Drive,Waikowhai,1041,Lot 173 Dp 156766,,,"$4,200.00 ",sfh - install a new masport r5000 ped woodfire with heat transfer kit to corner of family room.
3148,Auckland,Auckland,6-Jun-18,ABCO10268231,35 Reihana Street Orakei Auckland,35 Reihana Street,Orakei,1071,,Lot 433 Dp 38385,,"$12,000.00 ",sfh -new masport 15000 built in wood fireplace.
3153,Auckland,Auckland,6-Jun-18,ABCO10268079,168 Delamore Drive Waiheke Island Auckland,168 Delamore Drive,Waiheke Island,1081,,Lot 1 Dp 421622,,"$8,000.00 ",install freestanding woodfire and flue
3154,Auckland,Auckland,6-Jun-18,ABCO10268078,32B Bassett Road Remuera Auckland,32B Bassett Road,Remuera,1050,,Lot 1 Dp 470450,,"$7,800.00 ",install freestanding woodfire & flue
3156,Auckland,Auckland,6-Jun-18,ABCO10268451,3 Stranolar Drive Waikowhai Auckland,3 Stranolar Drive,Waikowhai,1041,,Lot 173 Dp 156766,,"$4,200.00 ",sfh - install a new masport r5000 ped woodfire with heat transfer kit to corner of family room.
3257,Auckland,Auckland,8-Jun-18,ABCO10268345,2 Raumati Road Remuera Auckland,2 Raumati Road,Remuera,1050,Pt Lot 37 Dp 7362,,,"$5,500.00 ",installation of solid fuel heater
3259,Auckland,Auckland,8-Jun-18,ABCO10268674,87 Vermont Street Ponsonby Auckland,87 Vermont Street,Ponsonby,1011,Pt Lot 16 Allot 30 Sec 8 Suburbs Auckland,,,"$5,000.00 ",install insert wood fire and flue
3260,Auckland,Auckland,8-Jun-18,ABCO10268344,34 Huntingtree Avenue Sandringham Auckland,34 Huntingtree Avenue,Sandringham,1041,Lot 196 Dp 514232,,,"$5,000.00 ",installation of solid fuel heater
3264,Auckland,Auckland,8-Jun-18,ABCO10268299,7 New Brighton Road Mount Wellington Auckland,7 New Brighton Road,Mount Wellington,1062,Lot 1 Dp 470450,,,"$3,800.00 ",install freestanding woodfire & flue
3265,Auckland,Auckland,8-Jun-18,ABCO10268729,19 Lambeth Road Mount Roskill Auckland,19 Lambeth Road,Mount Roskill,1041,Lot 1 Dp 173416,,,"$3,775.00 ",install new freestanding solid fuel wood burner
3266,Auckland,Auckland,8-Jun-18,ABCO10268278,92 Queens Drive Waiheke Island Auckland,92 Queens Drive,Waiheke Island,1081,Lot 14 Dp 476637,,,"$3,500.00 ",install new freestanding solid fuel wood burner to replace old existing in same locations.
3267,Auckland,Auckland,8-Jun-18,ABCO10268675,1 Thompson Road Panmure Auckland,1 Thompson Road,Panmure,1072,Lot 4000 Dp 520425,,,"$3,500.00 ",install freestanding woodfire and flue
3283,Auckland,Auckland,8-Jun-18,ABCO10268345,2 Raumati Road Remuera Auckland,2 Raumati Road,Remuera,1050,,Pt Lot 37 Dp 7362,,"$5,500.00 ",installation of solid fuel heater
3285,Auckland,Auckland,8-Jun-18,ABCO10268344,34 Huntingtree Avenue Sandringham Auckland,34 Huntingtree Avenue,Sandringham,1041,,Lot 196 Dp 514232,,"$5,000.00 ",installation of solid fuel heater
3286,Auckland,Auckland,8-Jun-18,ABCO10268674,87 Vermont Street Ponsonby Auckland,87 Vermont Street,Ponsonby,1011,,Pt Lot 16 Allot 30 Sec 8 Suburbs Auckland,,"$5,000.00 ",install insert wood fire and flue
3290,Auckland,Auckland,8-Jun-18,ABCO10268299,7 New Brighton Road Mount Wellington Auckland,7 New Brighton Road,Mount Wellington,1062,,Lot 1 Dp 470450,,"$3,800.00 ",install freestanding woodfire & flue
3291,Auckland,Auckland,8-Jun-18,ABCO10268729,19 Lambeth Road Mount Roskill Auckland,19 Lambeth Road,Mount Roskill,1041,,Lot 1 Dp 173416,,"$3,775.00 ",install new freestanding solid fuel wood burner
3292,Auckland,Auckland,8-Jun-18,ABCO10268675,1 Thompson Road Panmure Auckland,1 Thompson Road,Panmure,1072,,Lot 4000 Dp 520425,,"$3,500.00 ",install freestanding woodfire and flue
3293,Auckland,Auckland,8-Jun-18,ABCO10268278,92 Queens Drive Waiheke Island Auckland,92 Queens Drive,Waiheke Island,1081,,Lot 14 Dp 476637,,"$3,500.00 ",install new freestanding solid fuel wood burner to replace old existing in same locations.
3326,Auckland,Auckland,11-Jun-18,ABCO10268727,455C Richardson Road Mount Roskill Auckland,455C Richardson Road,Mount Roskill,1041,Lot 1 Dp 453946,,,"$4,836.00 ",install new built-in solid fuel wood burner
3327,Auckland,Auckland,11-Jun-18,ABCO10268767,253 New Windsor Road New Windsor Auckland,253 New Windsor Road,New Windsor,600,Lot 3 Dp 40144,,,"$3,877.00 ",install new freestanding solid wood burner to replace existing
