,region,council,date_issued,council_ref,location_all,location_street,location_suburb,location_area, Location_Postcode ,legal_description,val_number,consent_value,description
63680,Marlborough,Marlborough,30-May-18,MbBC180566,920 Queen Charlotte Drive Linkwater Marlborough,920 Queen Charlotte Drive,Linkwater,,,,,"$97,500.00 ",dwelling with free-standing metro wee rad log fire & on- site wastewater management system
63708,Marlborough,Marlborough,30-May-18,MbBC180642,16 Pitchill Street Blenheim Marlborough,16 Pitchill Street,Blenheim,,,,,"$18,000.00 ",dwelling alteration & extension with free-standing woodsman ecr novo log fire
63723,Marlborough,Marlborough,30-May-18,MbBC180718,265 Kaiuma Bay Road Kaiuma Marlborough,265 Kaiuma Bay Road,Kaiuma,,,,,"$6,570.00 ",free standing firenzo lady kitchener ru legs log fire
63724,Marlborough,Marlborough,30-May-18,MbBC180709,107 Dry Hills Lane Riverlands Marlborough,107 Dry Hills Lane,Riverlands,,,,,"$6,500.00 ",free standing jayline ul200 log fire
63725,Marlborough,Marlborough,30-May-18,MbBC180721,80 Scott Street Blenheim Marlborough,80 Scott Street,Blenheim,,,,,"$6,113.00 ",inbuilt firenzo forte bay log fire
63726,Marlborough,Marlborough,30-May-18,MbBC180715,92 Main Road Havelock Marlborough,92 Main Road,Havelock,,,,,"$6,100.00 ",free standing pyroclassic iv log fire
63727,Marlborough,Marlborough,30-May-18,MbBC180712,83 Hampden Street Picton Marlborough,83 Hampden Street,Picton,,,,,"$6,100.00 ",free standing pyroclassic iv log fire
63730,Marlborough,Marlborough,30-May-18,MbBC180608,678 New Renwick Road Fairhall Marlborough,678 New Renwick Road,Fairhall,,,,,"$5,532.00 ",free-standing metro mega rad log fire  mayfield
63731,Marlborough,Marlborough,30-May-18,MbBC180678,34 Alabama Road Blenheim Marlborough,34 Alabama Road,Blenheim,,,,,"$5,373.00 ",inbuilt metro smart insert log fire with wetback
63732,Marlborough,Marlborough,30-May-18,MbBC180702,2038 Taylor Pass Road Awatere Valley Marlborough,2038 Taylor Pass Road,Awatere Valley,,,,,"$5,200.00 ",free-standing masport r5000 rural log fire
63733,Marlborough,Marlborough,30-May-18,MbBC180655,3576 SH 1 Riverlands Marlborough,3576 SH 1,Riverlands,,,,,"$5,200.00 ",free standing masport r5000 ped log fire
63734,Marlborough,Marlborough,30-May-18,MbBC180637,66 Maxwell Pass Road Taylor Pass Marlborough,66 Maxwell Pass Road,Taylor Pass,,,,,"$5,142.00 ",free standing masport r5000 rural log fire
63735,Marlborough,Marlborough,30-May-18,MbBC180669,8 Howick Road Blenheim Marlborough,8 Howick Road,Blenheim,,,,,"$5,128.00 ",inbuilt yunca xander - masonry log fire  mayfield
63736,Marlborough,Marlborough,30-May-18,MbBC180620,8 Owen Place Blenheim Marlborough,8 Owen Place,Blenheim,,,,,"$5,000.00 ",free-standing jayline fr300w log fire
63737,Marlborough,Marlborough,30-May-18,MbBC180587,11 Hathaway Street Spring Creek Marlborough,11 Hathaway Street,Spring Creek,,,,,"$5,000.00 ",free standing yunca monte euro log fire
63738,Marlborough,Marlborough,30-May-18,MbBC180725,13 Hillcrest Avenue Blenheim Marlborough,13 Hillcrest Avenue,Blenheim,,,,,"$5,000.00 ",free-standing woodsman brunner mk ii log fire
63739,Marlborough,Marlborough,30-May-18,MbBC180717,377 Kaparu Road Blind River Marlborough,377 Kaparu Road,Blind River,,,,,"$5,000.00 ",free standing scandia cottage log fire
63741,Marlborough,Marlborough,30-May-18,MbBC180652,2650 SH 63 Wairau Valley Marlborough,2650 SH 63,Wairau Valley,,,,,"$5,000.00 ",inbuilt yunca xander masonry log fire
63743,Marlborough,Marlborough,30-May-18,MbBC180629,77 Weld Street Blenheim Marlborough,77 Weld Street,Blenheim,,,,,"$4,700.00 ",free standing woodsman taras on fire installations mkiii log fire with wetback
63744,Marlborough,Marlborough,30-May-18,MbBC180606,61 A Colemans Road Blenheim Marlborough,61 A Colemans Road,Blenheim,,,,,"$4,619.00 ",free standing metro wee rad log fire with wetback
63745,Marlborough,Marlborough,30-May-18,MbBC180572,31 A Lucas Street Blenheim Marlborough,31 A Lucas Street,Blenheim,,,,,"$4,615.00 ",inbuilt yunca xander log fire limited  mayfield
63746,Marlborough,Marlborough,30-May-18,MbBC180579,19 Graham Street Blenheim Marlborough,19 Graham Street,Blenheim,,,,,"$4,534.00 ",metro smart insert log fire limited
63748,Marlborough,Marlborough,30-May-18,MbBC180565,40 Cleghorn Street Blenheim Marlborough,40 Cleghorn Street,Blenheim,,,,,"$4,500.00 ",free-standing metro wee rad woody log fire  blenheim
63749,Marlborough,Marlborough,30-May-18,MbBC180636,28 D Meehan Street Blenheim Marlborough,28 D Meehan Street,Blenheim,,,,,"$4,500.00 ",free standing woodsman brunner mkii log fire
63750,Marlborough,Marlborough,30-May-18,MbBC180667,6 Kilworth Place Blenheim Marlborough,6 Kilworth Place,Blenheim,,,,,"$4,500.00 ",free standing metro wee rad woody log fire
63752,Marlborough,Marlborough,30-May-18,MbBC180563,10 Purser Crescent Blenheim Marlborough,10 Purser Crescent,Blenheim,,,,,"$4,500.00 ",free-standing masport r5000 log fire
63753,Marlborough,Marlborough,30-May-18,MbBC180696,523 Brookby Road Hawkesbury Marlborough,523 Brookby Road,Hawkesbury,,,,,"$4,500.00 ",free standing woodsman brunner mkii log fire blenheim
63754,Marlborough,Marlborough,30-May-18,MbBC180693,14 Ngaio Street Rarangi Marlborough,14 Ngaio Street,Rarangi,,,,,"$4,500.00 ",free-standing metro wee rad (legs ) log fire
63755,Marlborough,Marlborough,30-May-18,MbBC180710,44 Alabama Road Blenheim Marlborough,44 Alabama Road,Blenheim,,,,,"$4,500.00 ",free standing woodsman ecr novo log fire
63756,Marlborough,Marlborough,30-May-18,MbBC180564,4 B Weld Street Blenheim Marlborough,4 B Weld Street,Blenheim,,,,,"$4,500.00 ",free-standing masport r1500 log fire
63757,Marlborough,Marlborough,30-May-18,MbBC180578,18 Monro Street Blenheim Marlborough,18 Monro Street,Blenheim,,,,,"$4,500.00 ",masport le4000 provincial insert log fire
63758,Marlborough,Marlborough,30-May-18,MbBC180670,56 Redwood Street Blenheim Marlborough,56 Redwood Street,Blenheim,,,,,"$4,400.00 ",inbuilt masport bannockburn i2000 masonry log fire  mayfield
63759,Marlborough,Marlborough,30-May-18,MbBC180677,11 Maple Close Blenheim Marlborough,11 Maple Close,Blenheim,,,,,"$4,400.00 ",free standing metro wee rad woody log fire
63760,Marlborough,Marlborough,30-May-18,MbBC180724,62 A Houldsworth Street Blenheim Marlborough,62 A Houldsworth Street,Blenheim,,,,,"$4,400.00 ",free-standing metro tiny rad log fire  free-standing woodsman
63761,Marlborough,Marlborough,30-May-18,MbBC180703,2479 Kenepuru Road Kenepuru Sound Marlborough,2479 Kenepuru Road,Kenepuru Sound,,,,,"$4,400.00 ",inbuilt metro smart insert log fire  mayfield
63762,Marlborough,Marlborough,30-May-18,MbBC180690,128 Scott Street Blenheim Marlborough,128 Scott Street,Blenheim,,,,,"$4,400.00 ",metro smart insert log fire limited
63763,Marlborough,Marlborough,30-May-18,MbBC180681,43 A Inkerman Street Renwick Marlborough,43 A Inkerman Street,Renwick,,,,,"$4,400.00 ",free-standing metro wee rad woody log fire 55 grove road mayfield
63764,Marlborough,Marlborough,30-May-18,MbBC180624,225 Waikawa Road Waikawa Marlborough,225 Waikawa Road,Waikawa,,,,,"$4,344.00 ",free standing masport r5000 ped log fire
63765,Marlborough,Marlborough,30-May-18,MbBC180569,3 - 2 A Dawkins Place Blenheim Marlborough,3 - 2 A Dawkins Place,Blenheim,,,,,"$4,320.00 ",free-standing masport r1500 ped log fire
63766,Marlborough,Marlborough,30-May-18,MbBC180600,6694 Kenepuru Road Kenepuru Sound Marlborough,6694 Kenepuru Road,Kenepuru Sound,,,,,"$4,300.00 ",metro smart insert log fire limited
63768,Marlborough,Marlborough,30-May-18,MbBC180700,16 Belvue Crescent Blenheim Marlborough,16 Belvue Crescent,Blenheim,,,,,"$4,200.00 ",inbuilt masport bannockburn i2000 dry log fire
63769,Marlborough,Marlborough,30-May-18,MbBC180692,8 A Carr Street Blenheim Marlborough,8 A Carr Street,Blenheim,,,,,"$4,200.00 ",inbuilt jayline is500 log fire
63771,Marlborough,Marlborough,30-May-18,MbBC180716,7 Wadsworth Crescent Blenheim Marlborough,7 Wadsworth Crescent,Blenheim,,,,,"$4,000.00 ",free standing masport r1500 leg log fire
63772,Marlborough,Marlborough,30-May-18,MbBC180597,11 A Severne Street Blenheim Marlborough,11 A Severne Street,Blenheim,,,,,"$4,000.00 ",free standing masport osburn 1600 log fire
63773,Marlborough,Marlborough,30-May-18,MbBC180705,3 Newbourne Crescent Blenheim Marlborough,3 Newbourne Crescent,Blenheim,,,,,"$4,000.00 ",free standing masport r1500 log fire
63774,Marlborough,Marlborough,30-May-18,MbBC180591,2 Weld Street Blenheim Marlborough,2 Weld Street,Blenheim,,,,,"$4,000.00 ",inbuilt masport le4000 log fire
