WKT,id,rna_id,rcl_id,address,house_number,range_low,range_high,road_name,locality,territorial_authority,road_name_utf8,address_utf8,locality_utf8,shape_X,shape_Y
POINT (171.0338452833 -44.7318570333),121078,1787270,47617,"9 Andrew Street, Waimate",9,9,,Andrew Street,Waimate,Waimate District,Andrew Street,"9 Andrew Street, Waimate",Waimate,171.033845283,-44.7318570333
POINT (171.0411600833 -44.7340626833),121150,1782295,52825,"10 Meyer Street, Waimate",10,10,,Meyer Street,Waimate,Waimate District,Meyer Street,"10 Meyer Street, Waimate",Waimate,171.041160083,-44.734062683299996
POINT (171.04426315 -44.7299683),121204,1782127,33492,"154 High Street, Waimate",154,154,,High Street,Waimate,Waimate District,High Street,"154 High Street, Waimate",Waimate,171.04426315,-44.729968299999996
POINT (171.0350310667 -44.7326629833),121441,1782330,42557,"38 Opie Street, Waimate",38,38,,Opie Street,Waimate,Waimate District,Opie Street,"38 Opie Street, Waimate",Waimate,171.035031067,-44.7326629833
POINT (171.0418737667 -44.7345129),121495,1782295,52825,"4 Meyer Street, Waimate",4,4,,Meyer Street,Waimate,Waimate District,Meyer Street,"4 Meyer Street, Waimate",Waimate,171.041873767,-44.7345129
POINT (171.0392165667 -44.7355901833),121755,1787271,43277,"20 Mill Road, Waimate",20,20,,Mill Road,Waimate,Waimate District,Mill Road,"20 Mill Road, Waimate",Waimate,171.039216567,-44.7355901833
POINT (171.0417736 -44.7421898167),121806,1782283,344038,"3 Massey Street, Waimate",3,3,,Massey Street,Waimate,Waimate District,Massey Street,"3 Massey Street, Waimate",Waimate,171.0417736,-44.7421898167
POINT (171.0454916167 -44.7336857833),121941,1782197,53672,"10 Glasgow Street, Waimate",10,10,,Glasgow Street,Waimate,Waimate District,Glasgow Street,"10 Glasgow Street, Waimate",Waimate,171.045491617,-44.7336857833
POINT (171.0461759333 -44.7315903333),121966,1782127,50884,"121 High Street, Waimate",121,121,,High Street,Waimate,Waimate District,High Street,"121 High Street, Waimate",Waimate,171.046175933,-44.7315903333
POINT (171.0543629 -44.7291981833),122118,3068003,34940,"26 Timaru Road, Waimate",26,26,,Timaru Road,Waimate,Waimate District,Timaru Road,"26 Timaru Road, Waimate",Waimate,171.0543629,-44.7291981833
POINT (171.0471211833 -44.7294577333),122159,1782261,44273,"32 Leonard Street, Waimate",32,32,,Leonard Street,Waimate,Waimate District,Leonard Street,"32 Leonard Street, Waimate",Waimate,171.047121183,-44.7294577333
POINT (171.0452722333 -44.7334613333),122239,1783512,50886,"55 Shearman Street, Waimate",55,55,,Shearman Street,Waimate,Waimate District,Shearman Street,"55 Shearman Street, Waimate",Waimate,171.045272233,-44.7334613333
POINT (171.0509520333 -44.7345985167),122263,1782127,30827,"61 High Street, Waimate",61,61,,High Street,Waimate,Waimate District,High Street,"61 High Street, Waimate",Waimate,171.050952033,-44.734598516700004
POINT (171.0537308667 -44.7378381167),122384,1787211,47889,"12 Holmes Street, Waimate",12,12,,Holmes Street,Waimate,Waimate District,Holmes Street,"12 Holmes Street, Waimate",Waimate,171.053730867,-44.7378381167
POINT (171.0608777667 -44.7268670333),122567,3068003,46817,"78 Timaru Road, Waimate",78,78,,Timaru Road,Waimate,Waimate District,Timaru Road,"78 Timaru Road, Waimate",Waimate,171.060877767,-44.726867033299996
