id,address,boolean
2093,"125 Ohoka Road, Kaiapoi",Request timed out
2094,"14 Hills Street, Kaiapoi",Request timed out
2097,"129 Rangiora Woodend Road, Woodend",Request timed out
2117,"103 Greigs Road, Clarkville",Request timed out
2121,"146 Depot Road, View Hill",Request timed out
2129,"129 South Belt, Rangiora",Request timed out
2145,"22 Ashview Place, Rangiora",Request timed out
2151,"85 Campions Road, Cust",Request timed out
2156,"126 Mairaki Road, Fernside, Rangiora",Request timed out
2164,"27 Papawai Drive, Rangiora",Request timed out
2168,"40 Main Race Road, Eyrewell Forest",Request timed out
2175,"12 Main Street, Oxford",Request timed out
2187,"123 Main Street, Oxford",Request timed out
2190,"10 Park Avenue, Oxford",Request timed out
2250,"37 Peraki Street, Kaiapoi",Request timed out
2259,"26 Pounamu Place, Pegasus",Request timed out
2272,"10 Crampton Close, Kaiapoi",Request timed out
2279,"22 Carmana Gardens, Rangiora",Request timed out
2288,"47 Good Street, Rangiora",Request timed out
2291,"14 Church Street, Rangiora",Request timed out
2292,"19 Watson Place, Rangiora",Request timed out
2295,"11 Strachan Place, Rangiora",Request timed out
2306,"54 Percival Street, Rangiora",Request timed out
2331,"28 Taranaki Drive, Woodend",Request timed out
2341,"44 Pembertons Road, Sefton",Request timed out
2347,"16 MacDonalds Lane, Waikuku",Request timed out
2356,"14 High Street, Rangiora",Request timed out
2384,"25 Kawari Drive, Pegasus",Request timed out
2386,"50B Charles Street, Kaiapoi",Request timed out
2402,"14 Belgrave Drive, Rangiora",Request timed out
2411,"12 Maple Place, Rangiora",Request timed out
2412,"21 Hawthorn Mews, Rangiora",Request timed out
2413,"119 Church Street, Rangiora",Request timed out
2419,"41 Mandalea Road, Ohoka",Request timed out
2432,"98 Mandeville Park Drive, Swannanoa",Request timed out
2450,"292 West Belt, Rangiora",Request timed out
2453,"15 Riverside Road, Okuku",Request timed out
2455,"10 Helicon Street, Pegasus",Request timed out
2467,"18 Hancox Street, Kaiapoi",Request timed out
2472,"47 Oakgrove Drive, Rangiora",Request timed out
2473,"23 Storer Street, Kaiapoi",Request timed out
2479,"134 Woodside Road, Oxford",Request timed out
2491,"24 Mill Road, Cust",Request timed out
2508,"702 Tram Road, Ohoka",Request timed out
2516,"36 Rata Street, Rangiora",Request timed out
2521,"247 Kingsbury Avenue, Rangiora",Request timed out
2534,"6 Park Street, Rangiora",Request timed out
2537,"1 Bell Street, Rangiora",Request timed out
2538,"1 Country Lane, Rangiora",Request timed out
2539,"25 Martyn Street, Rangiora",Request timed out
2544,"29 Percival Street, Rangiora",Request timed out
2568,"24 Woodend Road, Woodend",Request timed out
2575,"13 Walker Street, Kaiapoi",Request timed out
2577,"166 Williams Street, Kaiapoi",Request timed out
2582,"2 Charters Street, Kaiapoi",Request timed out
2583,"5 Bowler Street, Kaiapoi",Request timed out
2587,"22 Kirk Street, Kaiapoi",Request timed out
2594,"113 Bells Lane, Sefton",Request timed out
2597,"3 Chichester Street, The Pines Beach",Request timed out
2600,"239 Kennedys Hill Road, Cust",Request timed out
2602,"13 Parkinson Place, Woodend",Request timed out
2608,"12 Wooten Place, Kaiapoi",Request timed out
2621,"267 Lehmans Road, Fernside, Rangiora",Request timed out
2622,"25 Magnolia Boulevard, Kaiapoi",Request timed out
2641,"11 Rinaldi Avenue, The Pines Beach",Request timed out
2658,"20 Turvey Street, Pegasus",Request timed out
2672,"17 Joy Place, Ohoka",Request timed out
2673,"11 Kempton Place, Rangiora",Request timed out
2676,"18 Churchill Drive, Rangiora",Request timed out
2691,"39 Beachvale Drive, Kaiapoi",Request timed out
2714,"14 Storer Street, Kaiapoi",Request timed out
2723,"10 Church Street, Oxford",Request timed out
2728,"140 High Street, Oxford",Request timed out
2736,"196 Catherwoods Road, Cust",Request timed out
2755,"1 McKenzie Place, Rangiora",Request timed out
2761,"17 Melford Close, Rangiora",Request timed out
2782,"15 Canterbury Street, Ashley",Request timed out
2788,"32 Percival Street, Rangiora",Request timed out
2797,"14 William Coup Road, Kaiapoi",Request timed out
2806,"14 Hewitts Road, Woodend",Request timed out
2809,"34 Church Bush Road, Tuahiwi",Request timed out
2811,"211 Williams Street, Kaiapoi",Request timed out
2815,"5 Williamson Lane, Kaiapoi",Request timed out
2816,"12 Stopforth Street, Woodend",Request timed out
2824,"10 Cassia Place, Kaiapoi",Request timed out
2827,"52 Ferry Road, Woodend Beach, Woodend",Request timed out
2848,"31 Perhams Road, View Hill",Request timed out
2849,"232 Waimakariri Gorge Road, View Hill",Request timed out
2850,"42 Waiora Lane, Waikuku",Request timed out
2851,"869 Main North Road, Woodend",Request timed out
2852,"112 Swannanoa Road, Fernside, Rangiora",Request timed out
2854,"23 Watsons Reserve Road, View Hill",Request timed out
2879,"153 Harleston Road, Sefton",Request timed out
2894,"5 Hodgkinson Road, Pegasus",Request timed out
2916,"13 Hodgkinson Road, Pegasus",Request timed out
2920,"5 Waiotahi Road, Kaiapoi",Request timed out
2921,"20 Medusa Lane, Pegasus",Request timed out
2924,"19 Kawari Drive, Pegasus",Request timed out
2929,"710 Rangiora Leithfield Road, Sefton",Request timed out
2930,"14 Hodgkinson Road, Pegasus",Request timed out
2933,"38 Seddon Street, Rangiora",Request timed out
2936,"107 Pegasus Boulevard, Pegasus",Request timed out
2959,"30 Isaac Road, Eyrewell Forest",Request timed out
2960,"427 Foothills Road, Okuku",Request timed out
2981,"66 White Street, Rangiora",Request timed out
2985,"19 Murray Street, Rangiora",Request timed out
2992,"148 East Belt, Rangiora",Request timed out
2994,"21 Marshall Street, Rangiora",Request timed out
2998,"25 Charters Street, Kaiapoi",Request timed out
3008,"55 Wesley Street, Kaiapoi",Request timed out
3009,"10 McAllister Place, Kaiapoi",Request timed out
3010,"1 Mathias Place, Kaiapoi",Request timed out
3014,"165 Williams Street, Kaiapoi",Request timed out
3015,"187 Williams Street, Kaiapoi",Request timed out
3021,"160 Toppings Road, Sefton",Request timed out
