,region,council,date_issued,council_ref,location_all,location_street,location_suburb,location_area,legal_description,consent_value,description
13421,,Christchurch ,5/02/15,C/2015/748,3 Drysdale Street Bishopdale  Christchurch ,3 Drysdale Street,Bishopdale,,Lot 11 DP 33383,"5,000",dwelling alteration - installation of masport r1600 freestanding dry woodburner cac133819
13422,,Christchurch ,5/02/15,C/2015/658,30 Mackworth Street Linwood  Christchurch ,30 Mackworth Street,Linwood,,Lot 2 DP 8488,"5,000",dwelling alteration - installation of masport r5000 ped freestanding dry wood burner cac 131295
13423,,Christchurch ,5/02/15,C/2015/779,19 Sullivan Avenue Woolston  Christchurch ,19 Sullivan Avenue,Woolston,,Lot 10 DP 2116,"5,000",dwelling alteration - installation of masport r5000 free-standing dry woodburner - cac 131295
13424,,Christchurch ,5/02/15,C/2015/643,64 Travis Road Burwood  Christchurch ,64 Travis Road,Burwood,,Lot 9 DP 21847,"5,000",dwelling alteration - installation of masport f3300c freestanding dry wood burner cac 103815
13425,,Christchurch ,5/02/15,C/2015/193,50 Withells Road Avonhead  Christchurch ,50 Withells Road,Avonhead,,Flat 1 DP 69015 on Lot 10 DP 16619 having share in 809 m2,"4,500",dwelling alteration - metro smart dry insert woodburner - cac102411
13426,,Christchurch ,5/02/15,C/2015/733,15 Cooks Lane Heathcote  Christchurch ,15 Cooks Lane,Heathcote,,Lot 17 DP 328231,"4,000",dwelling alteration - installation of woodsman brunner mkii wb free-standing wet wood burner - cac 142897
13427,,Christchurch ,5/02/15,C/2015/822,3 Fairmont Place Hornby  Christchurch ,3 Fairmont Place,Hornby,,Lot 1 DP 24862,"4,000",dwelling alteration - installation of osborn 1600 free-standing wet woodburner - cac 111500
13436,,Christchurch ,23/03/15,C2015/2520,14 Hooker Avenue Bryndwr   Christchurch ,14 Hooker Avenue,Bryndwr, ,Lot 50 DP 19547,"5,000",dwelling alteration - installation of woodsman totara fireplace insert dry wood burner cac 110220
13439,,Christchurch ,23/03/15,C2015/2503,29 Riley Crescent Woolston   Christchurch ,29 Riley Crescent,Woolston, ,Lot 21 DP 15111,"5,000",dwelling alteration - installation of woodsman totara inbuilt dry woodburner cac110220
13440,,Christchurch ,23/03/15,C2015/2521,20 Hooker Avenue Bryndwr   Christchurch ,20 Hooker Avenue,Bryndwr, ,Lot 47 DP 19547,"5,000",dwelling alteration - installation of woodsman totara inbuilt dry woodburner cac110220
