,region,council,date_issued,council_ref,location_all,location_street,location_suburb,location_area,legal_description,consent_value,description
7,,Ashburton,9/01/15,Ab1318/14,29 Allens Road Ashburton   Ashburton,29 Allens Road Ashburton,,,,"2,700",heating unit - f/s masport r1500 logfire in an alcove
10,,Ashburton,12/01/15,Ab1194/14,3 Deans Street Ashburton District   Ashburton,3 Deans Street Ashburton District,,,,"486,000",4 bedroom dwelling with attached garage & logfire
27,,Ashburton,16/01/15,Ab0016/15,16 Thomas Street Ashburton   Ashburton,16 Thomas Street Ashburton,,,,"4,400",heating unit - install f/s bosca spirit 550 logfire
28,,Ashburton,16/01/15,Ab0015/15,4 Suffolk Street Ashburton   Ashburton,4 Suffolk Street Ashburton,,,,"3,500",heating unit - install f/s metro xtreme ped logfire
59,,Ashburton,30/01/15,Ab0042/15,1315 Frasers Road Tinwald   Ashburton,1315 Frasers Road Tinwald,,,,"5,300",heating unit - f/s masport r10000 logfire
60,,Ashburton,30/01/15,Ab0041/15,66 Bridge Street Ashburton   Ashburton,66 Bridge Street Ashburton,,,,"3,500",heating unit - f/s osburn 1600 mkiii logfire on existing wetback
61,,Ashburton,30/01/15,Ab0031/15,369 Burnett Street Ashburton   Ashburton,369 Burnett Street Ashburton,,,,"3,000",heating unit - f/s masport r5000 (ped) logfire
96,,Ashburton,17/02/15,Ab0023/15,31 Douglas Drive Ashburton District   Ashburton,31 Douglas Drive Ashburton District,,,,"430,000",new construction - new 4 bedroom dwelling with logfire & garage
110,,Ashburton,20/02/15,Ab0075/15,794 East Street Ashburton   Ashburton,794 East Street Ashburton,,,,"1,500",heating unit - install an inbuilt metro eco smart logfire
112,,Ashburton,20/02/15,Ab0076/15,44 Wilkin Street Tinwald   Ashburton,44 Wilkin Street Tinwald,,,,"4,800",heating unit - install inbuilt masport le4000 logfire
113,,Ashburton,20/02/15,Ab0070/15,75 Creek Road Ashburton   Ashburton,75 Creek Road Ashburton,,,,"4,500",heating unit - install f/s metro r2 logfire
117,,Ashburton,23/02/15,Ab0078/15,17 Hekeao Road Ashburton District   Ashburton,17 Hekeao Road Ashburton District,,,,"2,700",heating unit - install f/s woodsman tasman mkii logfire on wetback
118,,Ashburton,23/02/15,Ab0084/15,9 Lismore Mayfield Road Ashburton District   Ashburton,9 Lismore Mayfield Road Ashburton District,,,,"2,500",heating unit - install a f/s woodsman tasman mkii logfire
122,,Ashburton,23/02/15,Ab0086/15,0 Mclennans Bush Road Ashburton District   Ashburton,0 Mclennans Bush Road Ashburton District,,,,"4,500",f/s masport r1000 mckenzie rural logfire
124,,Ashburton,23/02/15,Ab0077/15,33 Tuarangi Road Ashburton   Ashburton,33 Tuarangi Road Ashburton,,,,"3,800",heating unit - install an inbuilt masport le4000 logfire
125,,Ashburton,23/02/15,Ab0085/15,234 Dobson Street Ashburton   Ashburton,234 Dobson Street Ashburton,,,,"2,000",install f/s metro euro ped logfire
126,,Ashburton,23/02/15,Ab0087/15,19 Eton Street Ashburton District   Ashburton,19 Eton Street Ashburton District,,,,"2,000",install a f/s masport osburn 1600 logfire
127,,Ashburton,23/02/15,Ab0096/15,1 Hillier Place Ashburton   Ashburton,1 Hillier Place Ashburton,,,,"1,500",heating unit - install a f/s woodsman ecr mkiii logfire.
134,,Ashburton,24/02/15,Ab0109/15,60 Spaxton Street Methven   Ashburton,60 Spaxton Street Methven,,,,"4,000",heating unit - install a f/s yunca hobson logfire
135,,Ashburton,24/02/15,Ab0103/15,42 Grove Street Tinwald   Ashburton,42 Grove Street Tinwald,,,,"3,872",install a f/s masport atlanta bay logfire
137,,Ashburton,25/02/15,Ab0117/15,2248 Ealing Montalto Road Ashburton District   Ashburton,2248 Ealing Montalto Road Ashburton District,,,,"4,860",heating unit- install an inbuilt masport le4000 logfire
138,,Ashburton,25/02/15,Ab0135/15,587 Longbeach Road Ashburton District   Ashburton,587 Longbeach Road Ashburton District,,,,"4,950",install a inbuilt masport le4000 wood logfire
139,,Ashburton,25/02/15,Ab0111/15,1271 Ashburton Staveley Road Ashburton District   Ashburton,1271 Ashburton Staveley Road Ashburton District,,,,"4,150",install a f/s woodsman brunner mkii logfire
140,,Ashburton,25/02/15,Ab0116/15,45 Lane Street Ashburton   Ashburton,45 Lane Street Ashburton,,,,"5,200",heating unit - install a f/s masport f3000 logfire
141,,Ashburton,25/02/15,Ab0124/15,98 Allens Road Ashburton   Ashburton,98 Allens Road Ashburton,,,,"5,000",install a f/s masport f3000 logfire
142,,Ashburton,25/02/15,Ab0126/15,43 Oxford Street Ashburton District   Ashburton,43 Oxford Street Ashburton District,,,,"4,000",heating unit - inbuilt le4000 masport logfire
143,,Ashburton,25/02/15,Ab0132/15,83 Hepburns Road Ashburton District   Ashburton,83 Hepburns Road Ashburton District,,,,"4,000",install a f/s masport kronos logfire
144,,Ashburton,25/02/15,Ab0136/15,89 Oxford Street Ashburton District   Ashburton,89 Oxford Street Ashburton District,,,,"4,000",heating unit - f/s woodsman tarras mkii logfire
145,,Ashburton,25/02/15,Ab0115/15,39 Beach Road Ashburton   Ashburton,39 Beach Road Ashburton,,,,"3,695",install a f/s bosca limit 380 logfire
146,,Ashburton,25/02/15,Ab0114/15,59 Eton Street Ashburton District   Ashburton,59 Eton Street Ashburton District,,,,"3,500",heating unit - install a f/s masport r1500 logfire
154,,Ashburton,26/02/15,Ab0138/15,97 Princes Street Ashburton   Ashburton,97 Princes Street Ashburton,,,,"4,000",install f/s woodsman ecr mkiii logfire
164,,Ashburton,2/03/15,Ab0141/15,16 Lane Street Ashburton   Ashburton,16 Lane Street Ashburton,,,,"10,000",install a f/s firenzo viking ag logfire
165,,Ashburton,2/03/15,Ab0158/15,13 Clark Street Ashburton   Ashburton,13 Clark Street Ashburton,,,,"5,000",install a f/s firenzo viking ag logfire
167,,Ashburton,2/03/15,Ab0155/15,72 Alford Forest Road Ashburton District   Ashburton,72 Alford Forest Road Ashburton District,,,,"4,600",install f/s woodsman bunner mkii logfire
176,,Ashburton,3/03/15,Ab0162/15,166 Mcmurdo Street Tinwald   Ashburton,166 Mcmurdo Street Tinwald,,,,"5,700",install a f/s firenzo contessa ag logfire
177,,Ashburton,3/03/15,Ab0161/15,21 Lismore Mayfield Road Ashburton District   Ashburton,21 Lismore Mayfield Road Ashburton District,,,,"5,000",install a f/s masport mackenzie r1000 logfire
178,,Ashburton,3/03/15,Ab0163/15,67 Thomson Street Tinwald   Ashburton,67 Thomson Street Tinwald,,,,"4,500",install a f/s masport r5000 logfire
179,,Ashburton,3/03/15,Ab0160/15,68 Princes Street Ashburton   Ashburton,68 Princes Street Ashburton,,,,"4,077",install an inbuilt woodsman totara logfire
181,,Ashburton,4/03/15,Ab0052/15,4088 Arundel Rakaia Gorge Road Ashburton District   Ashburton,4088 Arundel Rakaia Gorge Road Ashburton District,,,,"225,000",new 3 bedroom dwelling with attached garage and free standing log burner.
182,,Ashburton,4/03/15,Ab0170/15,123 Rolleston Street Rakaia   Ashburton,123 Rolleston Street Rakaia,,,,"4,900",install a f/s masport r5000 ped logfire
183,,Ashburton,4/03/15,Ab0174/15,99 Mcmurdo Street Tinwald   Ashburton,99 Mcmurdo Street Tinwald,,,,"4,300",heating unit - inbuilt woodsman totora logfire
184,,Ashburton,4/03/15,Ab0172/15,1856 Back Track Ashburton District   Ashburton,1856 Back Track Ashburton District,,,,"4,000",install a f/s masport r500l logfire
191,,Ashburton,9/03/15,Ab0001/15,57 Hepburns Road Ashburton District   Ashburton,57 Hepburns Road Ashburton District,,,,"900,000",new construction - new single level dwelling with swimming pool & 2 metro logfires
193,,Ashburton,10/03/15,Ab0184/15,6 Philip Street Ashburton   Ashburton,6 Philip Street Ashburton,,,,"5,100",install an inbuilt masport le4000 logfire
194,,Ashburton,10/03/15,Ab0185/15,104 George Street Tinwald   Ashburton,104 George Street Tinwald,,,,"4,800",install a f/s firenzo bronte logfire
195,,Ashburton,10/03/15,Ab0182/15,7 Brucefield Avenue Ashburton   Ashburton,7 Brucefield Avenue Ashburton,,,,"3,800",install an inbuilt metro eco smart logfire
197,,Ashburton,10/03/15,Ab0176/15,5 Osborn Grove Ashburton   Ashburton,5 Osborn Grove Ashburton,,,,"3,000",install a f/s woodsman tasman mkiii logfire
198,,Ashburton,10/03/15,Ab0180/15,111 Stranges Road Ashburton District   Ashburton,111 Stranges Road Ashburton District,,,,"1,399",install a f/s jayline ss300 logfire
202,,Ashburton,11/03/15,Ab0186/15,134 Harrison Street Ashburton   Ashburton,134 Harrison Street Ashburton,,,,"4,500",install a f/s bosca 360 logfire
203,,Ashburton,11/03/15,Ab0188/15,184 Harrison Street Ashburton   Ashburton,184 Harrison Street Ashburton,,,,"4,300",install a f/s masport f3000 logfire
204,,Ashburton,11/03/15,Ab0187/15,57 Trevors Road Ashburton   Ashburton,57 Trevors Road Ashburton,,,,"3,500",install a f/s warminton tasman 46l series logfire
205,,Ashburton,11/03/15,Ab0189/15,614 Trevors Road Ashburton District [Carew]   Ashburton,614 Trevors Road Ashburton District [Carew],,,,"1,425",install a f/s masport r5000 logfire on wetback
207,,Ashburton,12/03/15,Ab1324/14,155 Lismore Mayfield Road Ashburton District   Ashburton,155 Lismore Mayfield Road Ashburton District,,,,"18,000",internal alterations and exterior re-clad of existing dwelling + new logfire.
208,,Ashburton,12/03/15,Ab0194/15,28 Thomas Street Ashburton   Ashburton,28 Thomas Street Ashburton,,,,"4,800",install a  f/s jayline ss300p logfire
210,,Ashburton,12/03/15,Ab0193/15,235 Hardys Road Rakaia   Ashburton,235 Hardys Road Rakaia,,,,"4,200",install a f/s woodsman brunner mkii log fire
219,,Ashburton,17/03/15,Ab0196/15,223 Hardys Road Rakaia   Ashburton,223 Hardys Road Rakaia,,,,"5,800",install a f/s woodsman strongman logfire
223,,Ashburton,18/03/15,Ab0223/15,15 Morgan Street Methven   Ashburton,15 Morgan Street Methven,,,,"6,800",install a f/s woodsman tarras mkiii log fire on wet back
224,,Ashburton,18/03/15,Ab0195/15,12 Rakaia Terrace Rakaia   Ashburton,12 Rakaia Terrace Rakaia,,,,"4,600","install a f/s woodsman ecr novo log burner

amended flue kit details  received - see attached flue details."
233,,Ashburton,20/03/15,Ab0211/15,10 Isleworth Road Ashburton District   Ashburton,10 Isleworth Road Ashburton District,,,,"4,500",inbuilt masport i300 on wetback logfire
234,,Ashburton,20/03/15,Ab0203/15,47 Michael Street Rakaia   Ashburton,47 Michael Street Rakaia,,,,"4,000",install a f/s masport r1500 logfire
235,,Ashburton,20/03/15,Ab0209/15,430 Pole Road Ashburton District   Ashburton,430 Pole Road Ashburton District,,,,"3,500",install a f/s woodsman tarras mkiii logfire on wetback
239,,Ashburton,23/03/15,Ab0234/15,120 Alford Forest Road Ashburton District   Ashburton,120 Alford Forest Road Ashburton District,,,,"5,800",install an inbuilt masport le4000 log fire
240,,Ashburton,23/03/15,Ab0216/15,33 Alington Street Methven   Ashburton,33 Alington Street Methven,,,,"5,700",install a f/s firenzo viking  log fire
241,,Ashburton,23/03/15,Ab0236/15,56 Belt Road Ashburton   Ashburton,56 Belt Road Ashburton,,,,"4,900",install an inbuilt masport 13000  log fire.
242,,Ashburton,23/03/15,Ab0229/15,152 Grove Street Tinwald   Ashburton,152 Grove Street Tinwald,,,,"4,500",install a f/s woodsman aspen logfire
243,,Ashburton,23/03/15,Ab0217/15,23 Fairfield Road Ashburton District   Ashburton,23 Fairfield Road Ashburton District,,,,"4,500",install a f/s masport r5000 on wetback logfire
244,,Ashburton,23/03/15,Ab0230/15,10 Michael Street Rakaia   Ashburton,10 Michael Street Rakaia,,,,"4,200",install a f/s masport r5000 log fire
246,,Ashburton,23/03/15,Ab0235/15,10 Nixon Street Tinwald   Ashburton,10 Nixon Street Tinwald,,,,"3,500",install a f/s jayline ss300p log fire in alcove
247,,Ashburton,23/03/15,Ab0227/15,108 Eton Street Ashburton District   Ashburton,108 Eton Street Ashburton District,,,,"3,000",install a f/s metro r1 logfire
248,,Ashburton,23/03/15,Ab0231/15,62 Chalmers Avenue Ashburton District   Ashburton,62 Chalmers Avenue Ashburton District,,,,"3,000",replace logfire with a dm500 jayline diesel heater
249,,Ashburton,24/03/15,Ab0239/15,27 Thomson Street Tinwald   Ashburton,27 Thomson Street Tinwald,,,,"5,300",install f/s masport f3300c log fire
250,,Ashburton,24/03/15,Ab0243/15,43 Lane Street Ashburton   Ashburton,43 Lane Street Ashburton,,,,"3,000",install a f/s masport r5000 logfire
253,,Ashburton,25/03/15,Ab0248/15,161 Harland Street Tinwald   Ashburton,161 Harland Street Tinwald,,,,"4,850",install a woodsman totara inbuilt log fire.
254,,Ashburton,25/03/15,Ab0251/15,145 Harrison Street Ashburton   Ashburton,145 Harrison Street Ashburton,,,,"4,800",heating unit - inbuilt masport le4000 logfire
255,,Ashburton,25/03/15,Ab0250/15,7 Oxford Street Ashburton District   Ashburton,7 Oxford Street Ashburton District,,,,"4,680",heating unit - inbuilt metro eco trend logfire
256,,Ashburton,25/03/15,Ab0247/15,86 Belt Road Ashburton   Ashburton,86 Belt Road Ashburton,,,,"4,500",install a inbuilt masport i3000 log fire
257,,Ashburton,25/03/15,Ab0237/15,46 Lane Street Ashburton   Ashburton,46 Lane Street Ashburton,,,,"3,500",install a f/s woodsman brunner mkii logfire
258,,Ashburton,25/03/15,Ab0244/15,97 Eton Street Ashburton District   Ashburton,97 Eton Street Ashburton District,,,,"3,500",install a f/s masport r5000 log fire
259,,Ashburton,25/03/15,Ab0252/15,50 Chalmers Avenue Ashburton District   Ashburton,50 Chalmers Avenue Ashburton District,,,,"3,000",heating unit - f/s woodsman flare-ped logfire
268,,Ashburton,27/03/15,Ab0255/15,7 Princes Street Ashburton   Ashburton,7 Princes Street Ashburton,,,,"4,300",install a f/s  masport talisman logfire in an alcove
269,,Ashburton,27/03/15,Ab0267/15,9 Grove Street Tinwald   Ashburton,9 Grove Street Tinwald,,,,"3,100",heating unit - inbuilt woodsman totara logfire
270,,Ashburton,27/03/15,Ab0256/15,13 Harrison Street Ashburton   Ashburton,13 Harrison Street Ashburton,,,,"3,000",install a f/s woodsman tasman mkii log fire
271,,Ashburton,27/03/15,Ab0260/15,30 Cameron Street Ashburton   Ashburton,30 Cameron Street Ashburton,,,,"2,900",install a f/s woodsman novo logfire
272,,Ashburton,27/03/15,Ab0268/15,8 Patching Street Ashburton   Ashburton,8 Patching Street Ashburton,,,,"2,600",install a f/s masport minos ii logfire
283,,Ashburton,31/03/15,Ab0275/15,120 Melcombe Street Tinwald   Ashburton,120 Melcombe Street Tinwald,,,,"4,850",install a f/s woodsman ecr mkiii logfire.
284,,Ashburton,31/03/15,Ab0274/15,23 Anne Street Tinwald   Ashburton,23 Anne Street Tinwald,,,,"3,000",install a f/s masport r5000 logfire
288,,Ashburton,1/04/15,Ab0287/15,5 Knox Place Tinwald   Ashburton,5 Knox Place Tinwald,,,,"5,195",install a f/s masport f3300c logfire on wetback
291,,Ashburton,1/04/15,Ab0285/15,79 George Street Tinwald   Ashburton,79 George Street Tinwald,,,,"4,190",install a f/s masport f2000 logfire
292,,Ashburton,1/04/15,Ab0288/15,134 Grove Street Tinwald   Ashburton,134 Grove Street Tinwald,,,,"3,845",install an inbuilt masport i3000 logfire
293,,Ashburton,1/04/15,Ab0284/15,6 Sudbury Street Ashburton   Ashburton,6 Sudbury Street Ashburton,,,,"3,785",install an inbuilt masport i2000 logfire
296,,Ashburton,2/04/15,Ab0296/15,465 Barkers Road Methven   Ashburton,465 Barkers Road Methven,,,,"5,850",install a f/s woodsman tarras mkiii logfire.
297,,Ashburton,2/04/15,Ab0291/15,13 Wakanui Road Ashburton District   Ashburton,13 Wakanui Road Ashburton District,,,,"4,500",install a f/s masport r5000 logfire
298,,Ashburton,2/04/15,Ab0290/15,14 Nixon Street Tinwald   Ashburton,14 Nixon Street Tinwald,,,,"4,400",install a f/s masport r5000 logfire on wetback
299,,Ashburton,2/04/15,Ab0293/15,3 Somerset Grove Ashburton   Ashburton,3 Somerset Grove Ashburton,,,,"4,100",install a f/s woodsman ecr novo logfire
300,,Ashburton,2/04/15,Ab0292/15,262 Wills Street Ashburton   Ashburton,262 Wills Street Ashburton,,,,"3,800",install a f/s masport r1500 logfire
301,,Ashburton,2/04/15,Ab0297/15,11 Alford Forest Road Ashburton District   Ashburton,11 Alford Forest Road Ashburton District,,,,"2,895",install a f/s in alcove woodsman tarrras mkiii logfire
307,,Ashburton,10/04/15,Ab0299/15,74 Princes Street Ashburton   Ashburton,74 Princes Street Ashburton,,,,"3,000",install a f/s masport r5000 ped log fire
312,,Ashburton,13/04/15,Ab0302/15,17 Hillier Place Ashburton   Ashburton,17 Hillier Place Ashburton,,,,"3,000",inbuilt woodsman totara logfire
315,,Ashburton,14/04/15,Ab0306/15,950 Isleworth Road Ashburton District   Ashburton,950 Isleworth Road Ashburton District,,,,"4,900",heating unit - f/s woodsman ecr nova logfire
316,,Ashburton,14/04/15,Ab0307/15,8 Michael Street Rakaia   Ashburton,8 Michael Street Rakaia,,,,"4,850",heating unit - inbuilt masport le4000 logfire
317,,Ashburton,14/04/15,Ab0308/15,262 Shepherds Bush Road Ashburton District   Ashburton,262 Shepherds Bush Road Ashburton District,,,,"4,500",heating unit - f/s in alcove kent rural tile logfire
318,,Ashburton,14/04/15,Ab0309/15,15 Andrew Street Ashburton   Ashburton,15 Andrew Street Ashburton,,,,"3,800",heating unit - f/s woodsman ecr nova logfire
319,,Ashburton,14/04/15,Ab0310/15,9 Baker Street Ashburton   Ashburton,9 Baker Street Ashburton,,,,"3,800",heating unit - f/s woodsman ecr nova mkiii logfire
320,,Ashburton,14/04/15,Ab0312/15,12 Mcdonald Street Ashburton   Ashburton,12 Mcdonald Street Ashburton,,,,"3,000",install an inbuilt woodsman totara logfire
321,,Ashburton,15/04/15,Ab0051/15,9 Whiteoak Grove Ashburton   Ashburton,9 Whiteoak Grove Ashburton,,,,"395,000",new construction - new 4 bedroom dwelling with attached garage and free standing log burner
329,,Ashburton,16/04/15,Ab0315/15,127 Company Road Ashburton   Ashburton,127 Company Road Ashburton,,,,"5,250",install a f/s metro wee rad logfire on wetback
330,,Ashburton,16/04/15,Ab0332/15,607 Winslow Road Ashburton District   Ashburton,607 Winslow Road Ashburton District,,,,"5,000",install a f/s woodsman tasman mkii logfire
331,,Ashburton,16/04/15,Ab0335/15,27 Carters Terrace Tinwald   Ashburton,27 Carters Terrace Tinwald,,,,"4,980",install a f/s firenzo lady kitchener ag08 logfire
332,,Ashburton,16/04/15,Ab0314/15,18 Porter Street Ashburton   Ashburton,18 Porter Street Ashburton,,,,"4,500",install a f/s masport r1500p logfire
333,,Ashburton,16/04/15,Ab0342/15,76 George Street Tinwald   Ashburton,76 George Street Tinwald,,,,"4,000",heating unit - f/s yunca weji 2000 (sub 1) logfire
334,,Ashburton,16/04/15,Ab0343/15,70 Mcmurdo Street Tinwald   Ashburton,70 Mcmurdo Street Tinwald,,,,"3,500",install a f/s kent astron logfire
335,,Ashburton,16/04/15,Ab0334/15,7 Spaxton Street Methven   Ashburton,7 Spaxton Street Methven,,,,"3,500",install a f/s woodsman tasman mkii log fire.
336,,Ashburton,16/04/15,Ab0346/15,19 Kitchener Street Ashburton   Ashburton,19 Kitchener Street Ashburton,,,,"3,500",install a inbuilt woodsman totara solid fuel heater.
337,,Ashburton,16/04/15,Ab0333/15,297 Cameron Street Ashburton   Ashburton,297 Cameron Street Ashburton,,,,"3,000",install a f/s masport r5000 logfire.
338,,Ashburton,16/04/15,Ab0330/15,30 Eton Street Ashburton District   Ashburton,30 Eton Street Ashburton District,,,,"2,799",install a f/s woodsman tarra mkiii logfire in alcove
340,,Ashburton,16/04/15,Ab0301/15,37 Albert Street Ashburton   Ashburton,37 Albert Street Ashburton,,,,"2,000",f/s masport r1500 logfire
341,,Ashburton,16/04/15,Ab0331/15,69 Racecourse Road Ashburton   Ashburton,69 Racecourse Road Ashburton,,,,"2,000",install a inbuilt woodsman totara logfire
343,,Ashburton,17/04/15,Ab0200/15,683 Alford Forest Cemetery Road Ashburton District   Ashburton,683 Alford Forest Cemetery Road Ashburton District,,,,"470,000","construct three new dwellings ( 2x two bedroom, 1x three bedroom with log burner)
"
352,,Ashburton,17/04/15,Ab0347/15,90 George Street Tinwald   Ashburton,90 George Street Tinwald,,,,"5,600",install a f/s firenzo bronte ag logfire
354,,Ashburton,20/04/15,Ab0355/15,29 Mitcham Road Ashburton   Ashburton,29 Mitcham Road Ashburton,,,,"4,880",install a f/s masport atlanta bay log fire.
355,,Ashburton,20/04/15,Ab0357/15,63 Belt Road Ashburton   Ashburton,63 Belt Road Ashburton,,,,"4,395",install a f/s masport r5000 log fire.
356,,Ashburton,20/04/15,Ab0350/15,36 Chalmers Avenue Ashburton District   Ashburton,36 Chalmers Avenue Ashburton District,,,,"4,000",install a f/s metro xtreme rad on wetback logfire
357,,Ashburton,20/04/15,Ab0349/15,85 Trevors Road Ashburton   Ashburton,85 Trevors Road Ashburton,,,,"4,000",install a f/s woodsman tasman on wetback log fire.
358,,Ashburton,20/04/15,Ab0354/15,8 Charles Street Ashburton   Ashburton,8 Charles Street Ashburton,,,,"3,785",install a inbuilt masport i2000 log fire
359,,Ashburton,20/04/15,Ab0356/15,52 Grey Street Ashburton   Ashburton,52 Grey Street Ashburton,,,,"3,500",install a f/s masport r1500 ped log fire.
360,,Ashburton,20/04/15,Ab0351/15,49 Oxford Street Ashburton District   Ashburton,49 Oxford Street Ashburton District,,,,"3,000",install a f/s novo (ecr) log fire.
361,,Ashburton,20/04/15,Ab0353/15,50 Suffolk Street Ashburton   Ashburton,50 Suffolk Street Ashburton,,,,"3,000",install a f/s woodsman tarras mkiii logfire on an existing wetback.
363,,Ashburton,21/04/15,Ab0364/15,210 Lauriston Barrhill Road Ashburton District   Ashburton,210 Lauriston Barrhill Road Ashburton District,,,,"5,000",install a inbuilt masport 13000 log fire.
364,,Ashburton,21/04/15,Ab0359/15,102 Melcombe Street Tinwald   Ashburton,102 Melcombe Street Tinwald,,,,"4,650",install a f/s jayline fisher hanmer log fire.
365,,Ashburton,21/04/15,Ab0365/15,28 Murdochs Road Ashburton District   Ashburton,28 Murdochs Road Ashburton District,,,,"4,200",install an f/s masport r1500 ped logfire.
366,,Ashburton,21/04/15,Ab0358/15,90 Alford Forest Road Ashburton District   Ashburton,90 Alford Forest Road Ashburton District,,,,"4,100",install a f/s masport f3000 log fire.
367,,Ashburton,21/04/15,Ab0361/15,35 Buckleys Terrace Ashburton   Ashburton,35 Buckleys Terrace Ashburton,,,,"4,000",install a f/s woodsman mkii logfire on existing wetback
368,,Ashburton,21/04/15,Ab0366/15,10 Spaxton Street Methven   Ashburton,10 Spaxton Street Methven,,,,"3,200",install a f/s woodsman ecr nova log fire.
369,,Ashburton,21/04/15,Ab0368/15,43 Aitken Street Ashburton   Ashburton,43 Aitken Street Ashburton,,,,"3,000",install a f/s yunca hobson log fire
378,,Ashburton,23/04/15,Ab0374/15,3 Pattons Road Mt Somers   Ashburton,3 Pattons Road Mt Somers,,,,"2,599",heating unit - f/s woodsman tarras mkiii logfire
379,,Ashburton,23/04/15,Ab0373/15,262 Lismore School Road Ashburton District   Ashburton,262 Lismore School Road Ashburton District,,,,"2,150",heating unit - f/s woodsman brunner mkii logfire
380,,Ashburton,23/04/15,Ab0372/15,107 Mcmurdo Street Tinwald   Ashburton,107 Mcmurdo Street Tinwald,,,,"2,000",install a f/s woodsman brunner mkii log fire.
383,,Ashburton,28/04/15,Ab0384/15,76 William Street Ashburton District   Ashburton,76 William Street Ashburton District,,,,"44,000",install a bosca limit 380 log fire.
384,,Ashburton,28/04/15,Ab0363/15,2316 Rakaia Highway Ashburton District   Ashburton,2316 Rakaia Highway Ashburton District,,,,"5,000",install a f/s woodsman brunner mkii logfire
385,,Ashburton,28/04/15,Ab0381/15,33 Brucefield Avenue Ashburton   Ashburton,33 Brucefield Avenue Ashburton,,,,"4,000",heating unit - inbuilt woodsman totara logfire
386,,Ashburton,28/04/15,Ab0376/15,17 Porter Street Ashburton   Ashburton,17 Porter Street Ashburton,,,,"3,500",install a f/s woodsman tasman log fire.
387,,Ashburton,28/04/15,Ab0383/15,44 Catherine Street Tinwald   Ashburton,44 Catherine Street Tinwald,,,,"3,000",install a f/s metro eco wee rad logfire
388,,Ashburton,28/04/15,Ab0380/15,15 Woodham Drive Ashburton   Ashburton,15 Woodham Drive Ashburton,,,,"3,000",install a f/s woodsman brunner mkii logfire
391,,Ashburton,29/04/15,Ab0385/15,16 Kennels Road Ashburton District   Ashburton,16 Kennels Road Ashburton District,,,,"6,262",install a f/s pyroclassic iv logfire
403,,Ashburton,1/05/15,Ab0389/15,1024 Thompsons Track Ashburton District   Ashburton,1024 Thompsons Track Ashburton District,,,,"4,000",heating unit - install an inbuilt kent logfire ii
408,,Ashburton,5/05/15,Ab0401/15,469 Waimarama Road Ashburton District   Ashburton,469 Waimarama Road Ashburton District,,,,"5,100",install a f/s woodsman tarras mkii log fire.
409,,Ashburton,5/05/15,Ab0407/15,34 Clark Street Ashburton   Ashburton,34 Clark Street Ashburton,,,,"4,950",heating unit - f/s woodsman ecr nova logfire
410,,Ashburton,5/05/15,Ab0403/15,123 Grove Street Tinwald   Ashburton,123 Grove Street Tinwald,,,,"4,000",install a f/s masport r1500 log fire.
411,,Ashburton,5/05/15,Ab0392/15,31 Suffolk Street Ashburton   Ashburton,31 Suffolk Street Ashburton,,,,"4,000",heating unit - install a f/s masport osburn 1600 logfire
412,,Ashburton,5/05/15,Ab0398/15,79 Grove Street Tinwald   Ashburton,79 Grove Street Tinwald,,,,"3,800",install a f/s masport r1500 log fire.
413,,Ashburton,5/05/15,Ab0404/15,8 Tucker Street Ashburton   Ashburton,8 Tucker Street Ashburton,,,,"3,800",install a f/s masport r1500 log fire.
414,,Ashburton,5/05/15,Ab0393/15,48 Nixon Street Tinwald   Ashburton,48 Nixon Street Tinwald,,,,"3,700",heating unit - f/s woodsman tarras mkiii logfire
415,,Ashburton,5/05/15,Ab0397/15,10 Turton Street Ashburton   Ashburton,10 Turton Street Ashburton,,,,"3,500",install a f/s masport mackenzie r10000 log fire.
416,,Ashburton,5/05/15,Ab0410/15,173 Middle Road Ashburton   Ashburton,173 Middle Road Ashburton,,,,"3,200",install a f/s woodsman tarras mkiii log fire.
417,,Ashburton,5/05/15,Ab0395/15,36 Carters Terrace Tinwald   Ashburton,36 Carters Terrace Tinwald,,,,"3,000",heating unit - install a new inbuilt woodburner kent logfire ii
418,,Ashburton,5/05/15,Ab0391/15,41 Pages Road Ashburton   Ashburton,41 Pages Road Ashburton,,,,"3,000",heating unit - f/s woodsman tarras mkiii logfire
419,,Ashburton,5/05/15,Ab0390/15,39 Cox Street Ashburton   Ashburton,39 Cox Street Ashburton,,,,"1,600",heating unit - f/s woodsman ecr novo logfire
421,,Ashburton,6/05/15,Ab0429/15,16 Deans Street Ashburton District   Ashburton,16 Deans Street Ashburton District,,,,"4,800",install a f/s masport r5000 logfire
422,,Ashburton,6/05/15,Ab0430/15,474 Waimarama Road Ashburton District   Ashburton,474 Waimarama Road Ashburton District,,,,"3,800",install a f/s woodsman ecr novo logfire
423,,Ashburton,6/05/15,Ab0424/15,7 Windsor Street Ashburton   Ashburton,7 Windsor Street Ashburton,,,,"3,600",install a f/s masport r1500 logfire
424,,Ashburton,6/05/15,Ab0425/15,29 Allison Street Ashburton   Ashburton,29 Allison Street Ashburton,,,,"3,500",install a f/s masport r1500 logfire
425,,Ashburton,6/05/15,Ab0431/15,1149 Hinds Arundel Road Ashburton District   Ashburton,1149 Hinds Arundel Road Ashburton District,,,,"2,750",heating unit - f/s masport r1500 rural logfire
