WKT,id,rna_id,rcl_id,address,house_number,range_low,range_high,road_name,locality,territorial_authority,road_name_utf8,address_utf8,locality_utf8,shape_X,shape_Y
POINT (172.7901567167 -43.7668187833),1848732,1785644,48864,"5A Western Valley Road, Little River",5A,5,,Western Valley Road,Little River,Christchurch City,Western Valley Road,"5A Western Valley Road, Little River",Little River,172.790156717,-43.766818783299996
POINT (172.6295526667 -43.5284232833),1960902,1782889,52118,"5B Cranmer Square, Christchurch Central, Christchurch",5B,5,,Cranmer Square,Christchurch Central,Christchurch City,Cranmer Square,"5B Cranmer Square, Christchurch Central, Christchurch",Christchurch Central,172.629552667,-43.5284232833
POINT (172.9560125167 -43.7866671333),289820,1779366,44009,"5B Kingfisher Road, Takamatua",5B,5,,Kingfisher Road,Takamatua,Christchurch City,Kingfisher Road,"5B Kingfisher Road, Takamatua",Takamatua,172.956012517,-43.7866671333
POINT (172.9721588667 -43.8087889),2011833,1787666,55562,"5B Rue Renard, Akaroa",5B,5,,Rue Renard,Akaroa,Christchurch City,Rue Renard,"5B Rue Renard, Akaroa",Akaroa,172.97215886700002,-43.808788899999996
POINT (172.95592415 -43.7865360333),289821,1779366,44009,"5C Kingfisher Road, Takamatua",5C,5,,Kingfisher Road,Takamatua,Christchurch City,Kingfisher Road,"5C Kingfisher Road, Takamatua",Takamatua,172.95592415,-43.7865360333
POINT (172.83731775 -43.6500105667),1964615,1780042,55638,"5C Puari Road, Port Levy",5C,5,,Puari Road,Port Levy,Christchurch City,Puari Road,"5C Puari Road, Port Levy",Port Levy,172.83731775,-43.650010566700004
POINT (172.9722495 -43.8087169167),2011834,1787666,55562,"5C Rue Renard, Akaroa",5C,5,,Rue Renard,Akaroa,Christchurch City,Rue Renard,"5C Rue Renard, Akaroa",Akaroa,172.9722495,-43.8087169167
POINT (172.9723268833 -43.8086225167),2011835,1787666,55562,"5D Rue Renard, Akaroa",5D,5,,Rue Renard,Akaroa,Christchurch City,Rue Renard,"5D Rue Renard, Akaroa",Akaroa,172.972326883,-43.8086225167
POINT (172.9720816667 -43.80849125),2011836,1787666,55562,"5E Rue Renard, Akaroa",5E,5,,Rue Renard,Akaroa,Christchurch City,Rue Renard,"5E Rue Renard, Akaroa",Akaroa,172.972081667,-43.80849125
POINT (172.97192255 -43.8085488167),2011837,1787666,55562,"5F Rue Renard, Akaroa",5F,5,,Rue Renard,Akaroa,Christchurch City,Rue Renard,"5F Rue Renard, Akaroa",Akaroa,172.97192255,-43.808548816700004
POINT (172.5938142 -43.5551096833),1963853,1782540,345594,"5L Hoon Hay Road, Hillmorton, Christchurch",5L,5,,Hoon Hay Road,Hillmorton,Christchurch City,Hoon Hay Road,"5L Hoon Hay Road, Hillmorton, Christchurch",Hillmorton,172.5938142,-43.555109683299996
POINT (172.9688383 -43.8082831667),290694,1779398,300824,"6 Armstrong Crescent, Akaroa",6,6,,Armstrong Crescent,Akaroa,Christchurch City,Armstrong Crescent,"6 Armstrong Crescent, Akaroa",Akaroa,172.96883830000002,-43.8082831667
POINT (172.7209578167 -43.63033905),279562,1780031,46157,"6 Athol Place, Diamond Harbour",6,6,,Athol Place,Diamond Harbour,Christchurch City,Athol Place,"6 Athol Place, Diamond Harbour",Diamond Harbour,172.720957817,-43.63033905
POINT (172.9608589333 -43.8115698333),290017,1779265,48970,"6 Aubrey Street South, Akaroa",6,6,,Aubrey Street South,Akaroa,Christchurch City,Aubrey Street South,"6 Aubrey Street South, Akaroa",Akaroa,172.960858933,-43.8115698333
POINT (172.64462615 -43.6253363667),1755941,1785661,39500,"6 Bay Heights, Governors Bay",6,6,,Bay Heights,Governors Bay,Christchurch City,Bay Heights,"6 Bay Heights, Governors Bay",Governors Bay,172.64462615,-43.6253363667
POINT (172.9439151667 -43.7576442167),567033,1779300,40114,"6 Bayview Crescent, Duvauchelle",6,6,,Bayview Crescent,Duvauchelle,Christchurch City,Bayview Crescent,"6 Bayview Crescent, Duvauchelle",Duvauchelle,172.943915167,-43.7576442167
POINT (172.6927536333 -43.6034351333),265262,1779977,39631,"6 Bayview Place, Cass Bay, Lyttelton",6,6,,Bayview Place,Cass Bay,Christchurch City,Bayview Place,"6 Bayview Place, Cass Bay, Lyttelton",Cass Bay,172.692753633,-43.603435133299996
POINT (172.7130597667 -43.6416154),274587,3073577,39901,"6 Bayview Road, Charteris Bay",6,6,,Bayview Road,Charteris Bay,Christchurch City,Bayview Road,"6 Bayview Road, Charteris Bay",Charteris Bay,172.713059767,-43.6416154
POINT (172.6387229167 -43.5087349),226561,1782492,41749,"6 Berwick Street, St Albans, Christchurch",6,6,,Berwick Street,St Albans,Christchurch City,Berwick Street,"6 Berwick Street, St Albans, Christchurch",St Albans,172.638722917,-43.5087349
POINT (172.7157841667 -43.6344041333),1603329,3047010,346816,"6 Black Rock Road, Charteris Bay",6,6,,Black Rock Road,Charteris Bay,Christchurch City,Black Rock Road,"6 Black Rock Road, Charteris Bay",Charteris Bay,172.715784167,-43.6344041333
POINT (172.7270435167 -43.5981969),1648512,1779059,43793,"6 Brenchley Road, Lyttelton",6,6,,Brenchley Road,Lyttelton,Christchurch City,Brenchley Road,"6 Brenchley Road, Lyttelton",Lyttelton,172.727043517,-43.5981969
POINT (172.71587625 -43.6027550333),279266,1779483,53566,"6 Bridle Path, Lyttelton",6,6,,Bridle Path,Lyttelton,Christchurch City,Bridle Path,"6 Bridle Path, Lyttelton",Lyttelton,172.71587625,-43.6027550333
POINT (172.7022083 -43.6070915667),270033,3048213,47968,"6 Buxtons Road, Lyttelton",6,6,,Buxtons Road,Lyttelton,Christchurch City,Buxtons Road,"6 Buxtons Road, Lyttelton",Lyttelton,172.70220830000002,-43.6070915667
POINT (172.7530168833 -43.6378429833),285656,3040015,51200,"6 Camp Bay Road, Purau",6,6,,Camp Bay Road,Purau,Christchurch City,Camp Bay Road,"6 Camp Bay Road, Purau",Purau,172.753016883,-43.6378429833
POINT (172.7286248 -43.6080670167),1757513,1779955,45444,"6 Cashin Quay, Lyttelton",6,6,,Cashin Quay,Lyttelton,Christchurch City,Cashin Quay,"6 Cashin Quay, Lyttelton",Lyttelton,172.7286248,-43.6080670167
POINT (172.6942461 -43.60514965),265292,1786149,49737,"6 Cass Bay Place, Cass Bay, Lyttelton",6,6,,Cass Bay Place,Cass Bay,Christchurch City,Cass Bay Place,"6 Cass Bay Place, Cass Bay, Lyttelton",Cass Bay,172.6942461,-43.60514965
POINT (172.7134310167 -43.6086727833),1757605,1780008,35889,"6 Charlotte Jane Quay, Lyttelton",6,6,,Charlotte Jane Quay,Lyttelton,Christchurch City,Charlotte Jane Quay,"6 Charlotte Jane Quay, Lyttelton",Lyttelton,172.713431017,-43.6086727833
POINT (172.5269304167 -43.5392643333),1757621,1783966,42427,"6 Chestnut Avenue, Hornby, Christchurch",6,6,,Chestnut Avenue,Hornby,Christchurch City,Chestnut Avenue,"6 Chestnut Avenue, Hornby, Christchurch",Hornby,172.52693041700002,-43.5392643333
POINT (172.65173255 -43.6258567667),240144,1785731,33520,"6 Cholmondeley Lane, Governors Bay",6,6,,Cholmondeley Lane,Governors Bay,Christchurch City,Cholmondeley Lane,"6 Cholmondeley Lane, Governors Bay",Governors Bay,172.65173255,-43.625856766700004
POINT (172.8067602167 -43.7602910667),1757793,1780053,39704,"6 Church Road, Little River",6,6,,Church Road,Little River,Christchurch City,Church Road,"6 Church Road, Little River",Little River,172.806760217,-43.7602910667
POINT (172.9623966667 -43.8098436667),290013,1779468,37072,"6 Church Street, Akaroa",6,6,,Church Street,Akaroa,Christchurch City,Church Street,"6 Church Street, Akaroa",Akaroa,172.962396667,-43.8098436667
POINT (172.61772365 -43.5094153667),1710285,1783615,42496,"6 Circuit Street, Strowan, Christchurch",6,6,,Circuit Street,Strowan,Christchurch City,Circuit Street,"6 Circuit Street, Strowan, Christchurch",Strowan,172.61772365,-43.509415366700004
POINT (172.7063508333 -43.8225054),1406698,3061508,46856,"6 Clifton Street, Little River",6,6,,Clifton Street,Little River,Christchurch City,Clifton Street,"6 Clifton Street, Little River",Little River,172.706350833,-43.8225054
POINT (172.7178080167 -43.6010378333),279262,1779963,388109,"6 Coleridge Terrace, Lyttelton",6,6,,Coleridge Terrace,Lyttelton,Christchurch City,Coleridge Terrace,"6 Coleridge Terrace, Lyttelton",Lyttelton,172.717808017,-43.6010378333
POINT (172.727809 -43.59955205),566981,1787326,50820,"6 College Place, Lyttelton",6,6,,College Place,Lyttelton,Christchurch City,College Place,"6 College Place, Lyttelton",Lyttelton,172.727809,-43.59955205
POINT (172.6523665167 -43.5564829333),1735161,1782881,39299,"6 Cresselly Place, Saint Martins, Christchurch",6,6,,Cresselly Place,Saint Martins,Christchurch City,Cresselly Place,"6 Cresselly Place, Saint Martins, Christchurch",Saint Martins,172.65236651700002,-43.556482933299996
POINT (172.7106081 -43.60360865),274462,3066039,36496,"6 Cressy Terrace, Lyttelton",6,6,,Cressy Terrace,Lyttelton,Christchurch City,Cressy Terrace,"6 Cressy Terrace, Lyttelton",Lyttelton,172.7106081,-43.60360865
POINT (172.7282030167 -43.5978754333),1302132,1785435,31998,"6 Crossland Terrace, Lyttelton",6,6,,Crossland Terrace,Lyttelton,Christchurch City,Crossland Terrace,"6 Crossland Terrace, Lyttelton",Lyttelton,172.728203017,-43.5978754333
POINT (172.7097067333 -43.6003289),274460,1779973,32104,"6 Dalleys Lane, Lyttelton",6,6,,Dalleys Lane,Lyttelton,Christchurch City,Dalleys Lane,"6 Dalleys Lane, Lyttelton",Lyttelton,172.709706733,-43.6003289
POINT (172.7259792167 -43.5979992167),282249,1779972,46942,"6 Days Road, Lyttelton",6,6,,Days Road,Lyttelton,Christchurch City,Days Road,"6 Days Road, Lyttelton",Lyttelton,172.725979217,-43.5979992167
POINT (172.5009718167 -43.5354155167),1987914,1986956,382063,"6 Doric Way, Islington, Christchurch",6,6,,Doric Way,Islington,Christchurch City,Doric Way,"6 Doric Way, Islington, Christchurch",Islington,172.50097181700002,-43.5354155167
POINT (172.7197461 -43.6368438833),279632,1785754,43765,"6 Doris Faigan Lane, Charteris Bay",6,6,,Doris Faigan Lane,Charteris Bay,Christchurch City,Doris Faigan Lane,"6 Doris Faigan Lane, Charteris Bay",Charteris Bay,172.71974609999998,-43.6368438833
POINT (172.71419115 -43.60204615),274459,1779949,29732,"6 Dudley Road, Lyttelton",6,6,,Dudley Road,Lyttelton,Christchurch City,Dudley Road,"6 Dudley Road, Lyttelton",Lyttelton,172.71419115,-43.60204615
POINT (172.5824666333 -43.4869916167),180867,1786968,46728,"6 Elvira Court, Bishopdale, Christchurch",6,6,,Elvira Court,Bishopdale,Christchurch City,Elvira Court,"6 Elvira Court, Bishopdale, Christchurch",Bishopdale,172.582466633,-43.4869916167
POINT (172.7193831833 -43.6289524833),279561,1780037,40770,"6 Emerson Crescent, Diamond Harbour",6,6,,Emerson Crescent,Diamond Harbour,Christchurch City,Emerson Crescent,"6 Emerson Crescent, Diamond Harbour",Diamond Harbour,172.719383183,-43.6289524833
POINT (172.7217385 -43.5948812333),52253,1840637,340820,"6 Endeavour Place, Lyttelton",6,6,,Endeavour Place,Lyttelton,Christchurch City,Endeavour Place,"6 Endeavour Place, Lyttelton",Lyttelton,172.72173850000001,-43.5948812333
POINT (172.7229858667 -43.6309666833),1418132,1770891,301978,"6 Euan Sarginson Place, Diamond Harbour",6,6,,Euan Sarginson Place,Diamond Harbour,Christchurch City,Euan Sarginson Place,"6 Euan Sarginson Place, Diamond Harbour",Diamond Harbour,172.722985867,-43.6309666833
POINT (172.95458105 -43.78652455),289651,1785732,39491,"6 Fantail Lane, Takamatua",6,6,,Fantail Lane,Takamatua,Christchurch City,Fantail Lane,"6 Fantail Lane, Takamatua",Takamatua,172.95458105,-43.78652455
POINT (172.9731091667 -43.7983116833),1638273,1841530,357415,"6 Felthams Road, Akaroa",6,6,,Felthams Road,Akaroa,Christchurch City,Felthams Road,"6 Felthams Road, Akaroa",Akaroa,172.97310916700002,-43.7983116833
POINT (172.9653215333 -43.8114288167),290692,1779301,35749,"6 Fleur Lane, Akaroa",6,6,,Fleur Lane,Akaroa,Christchurch City,Fleur Lane,"6 Fleur Lane, Akaroa",Akaroa,172.96532153299998,-43.8114288167
