id,address,boolean
438,"280 Glenavy Tawai Road, Glenavy",Request timed out
439,"10 Old Ferry Road, Morven",Request timed out
440,"14 Smith Street, Waimate",Request timed out
441,"1 Dixon Street, Waimate",Request timed out
442,"31 Maude Street, Waimate",Request timed out
443,"58 Harris Street, Waimate",Request timed out
444,"5 Mary Street, Waimate",Request timed out
445,"61 Parsonage Road, Waimate",Request timed out
446,"2 Price Street, Waimate",Request timed out
447,"11 Maude Street, Waimate",Request timed out
448,"127 High Street, Waimate",Request timed out
449,"14 Leonard Street, Waimate",Request timed out
450,"19 John Street, Waimate",Request timed out
451,"8 Churchill Place, Waimate",Request timed out
452,"9 Churchill Place, Waimate",Request timed out
453,"9 Wall Street, Waimate",Request timed out
454,"53 Wilkin Street, Waimate",Request timed out
455,"29 James Street, Waimate",Request timed out
456,"72 Waimate Highway, Saint Andrews",Request timed out
457,"122 Moorland Settlement Road, Hakataramea Valley",Request timed out
458,"5310 Hakataramea Highway, Station Peak",Request timed out
459,"301 Serpentine Valley Road, Waihao Downs",Request timed out
460,"60 Pentland Hills Road, Waihaorunga",Request timed out
461,"580 Waihao Back Road, Waimate",Request timed out
462,"263 Molloys Road, Waimate",Request timed out
463,"64 Willowbridge Settlement Road, Waimate",Request timed out
464,"235 Maori Road, Morven",Request timed out
465,"228 Point Bush Road, Waimate",Request timed out
466,"184 Norton Reserve Road, Waimate",Request timed out
467,"99 Parsonage Road, Waimate",Request timed out
468,"197 Craigmore Hill Road, Maungati",Request timed out
469,"1254 Back Line Road, Maungati",Request timed out
501,"381 Sherwood Road, Makikihi",Request timed out
502,"183 Teschemaker Valley Road, Otaio",Request timed out
505,"842 Moorland Settlement Road, Hakataramea Valley",Request timed out
506,"7A McLean Street, Glenavy",Request timed out
507,"90 Ikawai Middle Road, Glenavy",Request timed out
516,"4 Mill Road, Waimate",Request timed out
518,"12 Herbert Street, Waimate",Request timed out
519,"17 Herbert Street, Waimate",Request timed out
520,"1 Grigson Street, Waimate",Request timed out
521,"2 Churchill Place, Waimate",Request timed out
522,"58 Queen Street, Waimate",Request timed out
523,"5 Wall Street, Waimate",Request timed out
524,"5 Parsonage Road, Waimate",Request timed out
525,"8 Oxford Street, Waimate",Request timed out
530,"12 Waimate Highway, Saint Andrews",Request timed out
531,"4686 Hakataramea Highway, Station Peak",Request timed out
533,"993 Gum Tree Flat Road, Ikawai",Request timed out
534,"41 Park Road, Waimate",Request timed out
535,"91 Meyers Road, Waimate",Request timed out
536,"100 Waimate Hunter Road, Waimate",Request timed out
538,"307 Patersons Road, Maungati",Request timed out
549,"46 Mill Road, Waimate",Request timed out
558,"44 Parsonage Road, Waimate",Request timed out
559,"65 High Street, Waimate",Request timed out
560,"37 John Street, Waimate",Request timed out
