,address,boolean
1,"1 Harrys Way, Redwood, Christchurch",Request timed out
6,"1/104 Papanui Road, Merivale, Christchurch",Request timed out
7,"1/104 Weston Road, St Albans, Christchurch",Request timed out
8,"1/104A Forfar Street, St Albans, Christchurch",Request timed out
10,"1/106B Barrington Street, Somerfield, Christchurch",Request timed out
18,"1/160 Simeon Street, Spreydon, Christchurch",Request timed out
19,"1/160 St Albans Street, St Albans, Christchurch",Request timed out
20,"1/166 Cashel Street, Christchurch Central, Christchurch",Request timed out
26,"1/8 Cascade Place, Sumner, Christchurch",Request timed out
31,"10 Bay View Road, Moncks Bay, Christchurch",Request timed out
33,"10 Beechworth Avenue, Somerfield, Christchurch",Request timed out
34,"10 Benjamin Lane, Huntsbury, Christchurch",Request timed out
36,"10 Brigid Place, Mount Pleasant, Christchurch",Request timed out
37,"10 Brook Street, Bexley, Christchurch",Request timed out
38,"10 Browning Street, Sydenham, Christchurch",Request timed out
42,"10 Colligan Street, Upper Riccarton, Christchurch",Request timed out
43,"10 Compton Street, Woolston, Christchurch",Request timed out
48,"10 Hampton Place, Burnside, Christchurch",Request timed out
49,"10 Harkness Place, Avonhead, Christchurch",Request timed out
50,"10 Harris Crescent, Papanui, Christchurch",Request timed out
51,"10 Harrowdale Drive, Avonhead, Christchurch",Request timed out
52,"10 Hartley Avenue, Strowan, Christchurch",Request timed out
56,"10 Kim Place, Dallington, Christchurch",Request timed out
57,"10 Kinnaird Place, Hillmorton, Christchurch",Request timed out
58,"10 Kirsten Place, Parklands, Christchurch",Request timed out
60,"10 Mafeking Street, New Brighton, Christchurch",Request timed out
61,"10 Malabar Crescent, Broomfield, Christchurch",Request timed out
62,"10 Mandalay Lane, Redcliffs, Christchurch",Request timed out
63,"10 Marguerite Place, Aidanfield, Christchurch",Request timed out
64,"10 Martell Place, Hoon Hay, Christchurch",Request timed out
65,"10 Mataroa Place, Parklands, Christchurch",Request timed out
66,"10 Maurice Knowles Lane, Cashmere, Christchurch",Request timed out
68,"10 McMahon Drive, Aidanfield, Christchurch",Request timed out
71,"10 Redgrave Street, Hoon Hay, Christchurch",Request timed out
72,"10 Rempstone Drive, Halswell, Christchurch",Request timed out
74,"10 Riverbank Road, Northwood, Christchurch",Request timed out
76,"10 Rosefield Lane, Northcote, Christchurch",Request timed out
77,"10 Rosewarne Street, Spreydon, Christchurch",Request timed out
78,"10 Roydon Drive, Templeton, Christchurch",Request timed out
79,"10 Roystone Way, Huntsbury, Christchurch",Request timed out
81,"10 Selsey Lane, Somerfield, Christchurch",Request timed out
83,"10 St Martins Road, Saint Martins, Christchurch",Request timed out
87,"10 Wiggins Street, Sumner, Christchurch",Request timed out
90,"100B/113 Worcester Street, Christchurch Central, Christchurch",Request timed out
93,"102B/113 Worcester Street, Christchurch Central, Christchurch",Request timed out
98,"104/166 Cashel Street, Christchurch Central, Christchurch",Request timed out
101,"105 Reynolds Avenue, Bishopdale, Christchurch",Request timed out
102,"106 Hampshire Street, Aranui, Christchurch",Request timed out
106,"107 Mathers Road, Hoon Hay, Christchurch",Request timed out
109,"108 McGregors Road, Linwood, Christchurch",Request timed out
110,"108 Memorial Avenue, Burnside, Christchurch",Request timed out
113,"109BAA Worcester Street, Christchurch Central, Christchurch",Request timed out
114,"109BAM Worcester Street, Christchurch Central, Christchurch",Request timed out
115,"109BAR Worcester Street, Christchurch Central, Christchurch",Request timed out
116,"109BAW Worcester Street, Christchurch Central, Christchurch",Request timed out
117,"109BAX Worcester Street, Christchurch Central, Christchurch",Request timed out
118,"109BB Worcester Street, Christchurch Central, Christchurch",Request timed out
119,"109BBB Worcester Street, Christchurch Central, Christchurch",Request timed out
120,"109BH Worcester Street, Christchurch Central, Christchurch",Request timed out
121,"109BN Worcester Street, Christchurch Central, Christchurch",Request timed out
122,"109BQ Worcester Street, Christchurch Central, Christchurch",Request timed out
123,"109BR Worcester Street, Christchurch Central, Christchurch",Request timed out
124,"109BX Worcester Street, Christchurch Central, Christchurch",Request timed out
125,"109BZ Worcester Street, Christchurch Central, Christchurch",Request timed out
127,"10A Warwick Street, Richmond, Christchurch",Request timed out
128,"10A Wedgewood Avenue, Cashmere, Christchurch",Request timed out
130,"11 Alice Street, Burwood, Christchurch",Request timed out
131,"11 Alpers Place, Hoon Hay, Christchurch",Request timed out
134,"11 Bella Rosa Drive, Hei Hei, Christchurch",Request timed out
135,"11 Ben Rarere Avenue, Aranui, Christchurch",Request timed out
136,"11 Bernadette Street, Aidanfield, Christchurch",Request timed out
139,"11 Broadhaven Avenue, Parklands, Christchurch",Request timed out
140,"11 Brodie Street, Ilam, Christchurch",Request timed out
141,"11 Brookfield Drive, Northwood, Christchurch",Request timed out
143,"11 Cameron Street, Sydenham, Christchurch",Request timed out
147,"11 Deerwood Lane, Wigram, Christchurch",Request timed out
148,"11 Delta Way, Woolston, Christchurch",Request timed out
149,"11 Denniston Crescent, Redwood, Christchurch",Request timed out
152,"11 Hardy Street, New Brighton, Christchurch",Request timed out
153,"11 Harkness Place, Avonhead, Christchurch",Request timed out
154,"11 Harry Ell Drive, Cashmere, Christchurch",Request timed out
155,"11 Haslett Place, Upper Riccarton, Christchurch",Request timed out
158,"11 Keri Place, Hei Hei, Christchurch",Request timed out
161,"11 Martell Place, Hoon Hay, Christchurch",Request timed out
162,"11 Mataroa Place, Parklands, Christchurch",Request timed out
165,"11 Morley Street, Bryndwr, Christchurch",Request timed out
168,"11 Rogers Street, Sydenham, Christchurch",Request timed out
169,"11 Roimata Place, Woolston, Christchurch",Request timed out
170,"11 Rope Street, Christchurch Central, Christchurch",Request timed out
171,"11 Rosanna Place, Aranui, Christchurch",Request timed out
172,"11 Roseneath Place, Cashmere, Christchurch",Request timed out
173,"11 Rossmore Terrace, Cashmere, Christchurch",Request timed out
174,"11 Rowcliffe Crescent, Avonside, Christchurch",Request timed out
176,"11 Sedbergh Place, Westmorland, Christchurch",Request timed out
178,"11 Stanton Crescent, Hoon Hay, Christchurch",Request timed out
179,"11 Starwood Lane, Clifton, Christchurch",Request timed out
180,"11 Stenness Avenue, Somerfield, Christchurch",Request timed out
181,"11 Stirling Street, Merivale, Christchurch",Request timed out
184,"11 Wakelin Place, Redwood, Christchurch",Request timed out
185,"11 Waratah Street, Avondale, Christchurch",Request timed out
186,"11 Watford Street, Strowan, Christchurch",Request timed out
188,"11 Wingate Street, Redwood, Christchurch",Request timed out
192,"113C Worcester Street, Christchurch Central, Christchurch",Request timed out
194,"115A Worcester Street, Christchurch Central, Christchurch",Request timed out
195,"115X Worcester Street, Christchurch Central, Christchurch",Request timed out
197,"116 Malcolm Avenue, Beckenham, Christchurch",Request timed out
198,"116 Marshland Road, Shirley, Christchurch",Request timed out
199,"116 Memorial Avenue, Burnside, Christchurch",Request timed out
201,"118 North Parade, Richmond, Christchurch",Request timed out
203,"119A Worcester Street, Christchurch Central, Christchurch",Request timed out
205,"11A Poynder Avenue, Merivale, Christchurch",Request timed out
209,"12 Bannister Place, Ilam, Christchurch",Request timed out
210,"12 Barrie Street, Addington, Christchurch",Request timed out
211,"12 Bay View Road, Moncks Bay, Christchurch",Request timed out
212,"12 Bayliss Close, Northwood, Christchurch",Request timed out
216,"12 Brent Place, Papanui, Christchurch",Request timed out
218,"12 Campbell Street, Sumner, Christchurch",Request timed out
219,"12 Cardiff Avenue, Somerfield, Christchurch",Request timed out
221,"12 Chartwell Street, Burwood, Christchurch",Request timed out
222,"12 Chimera Crescent, New Brighton, Christchurch",Request timed out
223,"12 Chipping Lane, Redwood, Christchurch",Request timed out
226,"12 Glenroy Street, Woolston, Christchurch",Request timed out
228,"12 Hardy Street, New Brighton, Christchurch",Request timed out
229,"12 Harrison Street, Mairehau, Christchurch",Request timed out
230,"12 Harrowdale Drive, Avonhead, Christchurch",Request timed out
